,title,season_1_year,season_urls,detail,4k prices,hd prices,sd prices,free,best prices,imdb_link,tite url,stream_4k,rent_4k,buy_4k,stream_hd,rent_hd,buy_hd,stream_sd,rent_sd,buy_sd,stream_free,rent_free,buy_free,stream_best,rent_best,buy_best,Rating,Genres,Runtime,Age rating
0, Star Trek: Lower Decks , (2020) ,"[{' Season 3 ': 'https://www.justwatch.com/us/tv-show/star-trek-lower-decks/season-3'}, {' Season 2 ': 'https://www.justwatch.com/us/tv-show/star-trek-lower-decks/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/star-trek-lower-decks/season-1'}]","{'Rating': ' 81%  7.3 (16k) ', 'Genres': 'Science-Fiction , Comedy , Animation , Action & Adventure ', 'Runtime': '25min', 'Age rating': 'TV-14'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Paramount+ Amazon Channel': '3 Seasons HD '}, {'Paramount Plus': '2 Seasons HD '}, {'The Roku Channel': '2 Seasons HD '}, {'Paramount+ Roku Premium Channel': '2 Seasons HD '}, {'Amazon Prime Video': '1 Season HD '}], 'rent_hd': [], 'buy_hd': [{'Apple iTunes': '2 Seasons HD '}, {'Amazon Video': '2 Seasons HD '}, {'Google Play Movies': '2 Seasons HD '}, {'Microsoft Store': '2 Seasons HD '}, {'Vudu': '1 Season HD '}]}","{'stream_sd': [{'Paramount+ Amazon Channel': '3 Seasons '}, {'Paramount Plus': '2 Seasons '}, {'The Roku Channel': '2 Seasons '}, {'Paramount+ Roku Premium Channel': '2 Seasons '}, {'Amazon Prime Video': '1 Season '}], 'rent_sd': [], 'buy_sd': [{'Apple iTunes': '2 Seasons '}, {'Amazon Video': '2 Seasons '}, {'Google Play Movies': '2 Seasons '}, {'Microsoft Store': '2 Seasons '}, {'Vudu': '1 Season '}]}","{'stream_free': [{'The Roku Channel': '2 Seasons HD '}, {'Amazon Prime Video': '1 Season HD '}, {'Paramount Plus': '1 Season HD '}], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Paramount+ Amazon Channel': '3 Seasons HD '}, {'Paramount Plus': '2 Seasons HD '}, {'The Roku Channel': '2 Seasons HD '}, {'Paramount+ Roku Premium Channel': '2 Seasons HD '}, {'Amazon Prime Video': '1 Season HD '}], 'rent_best': [], 'buy_best': [{'Apple iTunes': '2 Seasons '}, {'Amazon Video': '2 Seasons '}, {'Google Play Movies': '2 Seasons '}, {'Microsoft Store': '2 Seasons '}, {'Vudu': '1 Season '}]}",https://www.imdb.com/title/tt9184820/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/star-trek-lower-decks,[],[],[],"[{'Paramount+ Amazon Channel': '3 Seasons HD '}, {'Paramount Plus': '2 Seasons HD '}, {'The Roku Channel': '2 Seasons HD '}, {'Paramount+ Roku Premium Channel': '2 Seasons HD '}, {'Amazon Prime Video': '1 Season HD '}]",[],"[{'Apple iTunes': '2 Seasons HD '}, {'Amazon Video': '2 Seasons HD '}, {'Google Play Movies': '2 Seasons HD '}, {'Microsoft Store': '2 Seasons HD '}, {'Vudu': '1 Season HD '}]","[{'Paramount+ Amazon Channel': '3 Seasons '}, {'Paramount Plus': '2 Seasons '}, {'The Roku Channel': '2 Seasons '}, {'Paramount+ Roku Premium Channel': '2 Seasons '}, {'Amazon Prime Video': '1 Season '}]",[],"[{'Apple iTunes': '2 Seasons '}, {'Amazon Video': '2 Seasons '}, {'Google Play Movies': '2 Seasons '}, {'Microsoft Store': '2 Seasons '}, {'Vudu': '1 Season '}]","[{'The Roku Channel': '2 Seasons HD '}, {'Amazon Prime Video': '1 Season HD '}, {'Paramount Plus': '1 Season HD '}]",[],[],"[{'Paramount+ Amazon Channel': '3 Seasons HD '}, {'Paramount Plus': '2 Seasons HD '}, {'The Roku Channel': '2 Seasons HD '}, {'Paramount+ Roku Premium Channel': '2 Seasons HD '}, {'Amazon Prime Video': '1 Season HD '}]",[],"[{'Apple iTunes': '2 Seasons '}, {'Amazon Video': '2 Seasons '}, {'Google Play Movies': '2 Seasons '}, {'Microsoft Store': '2 Seasons '}, {'Vudu': '1 Season '}]", 81%  7.3 (16k) ,"Science-Fiction , Comedy , Animation , Action & Adventure ",25min,TV-14
1, Snowpiercer , (2020) ,"[{' Season 3 ': 'https://www.justwatch.com/us/tv-show/snowpiercer/season-3'}, {' Season 2 ': 'https://www.justwatch.com/us/tv-show/snowpiercer/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/snowpiercer/season-1'}]","{'Rating': ' 80%  6.9 (54k) ', 'Genres': 'Science-Fiction , Action & Adventure , Drama , Mystery & Thriller ', 'Runtime': '47min', 'Age rating': 'TV-MA'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'DIRECTV': '3 Seasons HD '}, {'TNT': '3 Seasons HD '}, {'Spectrum On Demand': '3 Seasons HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'TNT': '3 Seasons '}, {'Spectrum On Demand': '3 Seasons '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [{'Spectrum On Demand': '3 Seasons HD '}], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'DIRECTV': '3 Seasons HD '}, {'TNT': '3 Seasons HD '}, {'Spectrum On Demand': '3 Seasons HD '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt6156584/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/snowpiercer,[],[],[],"[{'DIRECTV': '3 Seasons HD '}, {'TNT': '3 Seasons HD '}, {'Spectrum On Demand': '3 Seasons HD '}]",[],[],"[{'TNT': '3 Seasons '}, {'Spectrum On Demand': '3 Seasons '}]",[],[],[{'Spectrum On Demand': '3 Seasons HD '}],[],[],"[{'DIRECTV': '3 Seasons HD '}, {'TNT': '3 Seasons HD '}, {'Spectrum On Demand': '3 Seasons HD '}]",[],[], 80%  6.9 (54k) ,"Science-Fiction , Action & Adventure , Drama , Mystery & Thriller ",47min,TV-MA
2, Star Trek: Picard , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/star-trek-picard/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/star-trek-picard/season-1'}]","{'Rating': ' 81%  7.3 (70k) ', 'Genres': 'Science-Fiction , Action & Adventure , Drama ', 'Runtime': '48min', 'Age rating': 'TV-MA'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Paramount Plus': '2 Seasons HD '}, {'Paramount+ Amazon Channel': '2 Seasons HD '}, {'Paramount+ Roku Premium Channel': '2 Seasons HD '}], 'rent_hd': [], 'buy_hd': [{'Apple iTunes': '1 Season HD '}, {'Amazon Video': '1 Season HD '}, {'Vudu': '1 Season HD '}, {'Google Play Movies': '1 Season HD '}, {'Microsoft Store': '1 Season HD '}]}","{'stream_sd': [{'Paramount Plus': '2 Seasons '}, {'Paramount+ Amazon Channel': '2 Seasons '}, {'Paramount+ Roku Premium Channel': '2 Seasons '}], 'rent_sd': [], 'buy_sd': [{'Apple iTunes': '1 Season '}, {'Amazon Video': '1 Season '}, {'Vudu': '1 Season '}, {'Google Play Movies': '1 Season '}, {'Microsoft Store': '1 Season '}]}","{'stream_free': [{'Paramount Plus': '1 Season HD '}], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Paramount Plus': '2 Seasons HD '}, {'Paramount+ Amazon Channel': '2 Seasons HD '}, {'Paramount+ Roku Premium Channel': '2 Seasons HD '}], 'rent_best': [], 'buy_best': [{'Apple iTunes': '1 Season '}, {'Amazon Video': '1 Season '}, {'Vudu': '1 Season '}, {'Google Play Movies': '1 Season '}, {'Microsoft Store': '1 Season '}]}",https://www.imdb.com/title/tt8806524/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/star-trek-picard,[],[],[],"[{'Paramount Plus': '2 Seasons HD '}, {'Paramount+ Amazon Channel': '2 Seasons HD '}, {'Paramount+ Roku Premium Channel': '2 Seasons HD '}]",[],"[{'Apple iTunes': '1 Season HD '}, {'Amazon Video': '1 Season HD '}, {'Vudu': '1 Season HD '}, {'Google Play Movies': '1 Season HD '}, {'Microsoft Store': '1 Season HD '}]","[{'Paramount Plus': '2 Seasons '}, {'Paramount+ Amazon Channel': '2 Seasons '}, {'Paramount+ Roku Premium Channel': '2 Seasons '}]",[],"[{'Apple iTunes': '1 Season '}, {'Amazon Video': '1 Season '}, {'Vudu': '1 Season '}, {'Google Play Movies': '1 Season '}, {'Microsoft Store': '1 Season '}]",[{'Paramount Plus': '1 Season HD '}],[],[],"[{'Paramount Plus': '2 Seasons HD '}, {'Paramount+ Amazon Channel': '2 Seasons HD '}, {'Paramount+ Roku Premium Channel': '2 Seasons HD '}]",[],"[{'Apple iTunes': '1 Season '}, {'Amazon Video': '1 Season '}, {'Vudu': '1 Season '}, {'Google Play Movies': '1 Season '}, {'Microsoft Store': '1 Season '}]", 81%  7.3 (70k) ,"Science-Fiction , Action & Adventure , Drama ",48min,TV-MA
3, Close Enough , (2020) ,"[{' Season 3 ': 'https://www.justwatch.com/us/tv-show/close-enough/season-3'}, {' Season 2 ': 'https://www.justwatch.com/us/tv-show/close-enough/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/close-enough/season-1'}]","{'Rating': ' 88%  7.8 (11k) ', 'Genres': 'Comedy , Animation , Romance , Science-Fiction , Action & Adventure , Mystery & Thriller , Drama , Fantasy ', 'Runtime': '18min', 'Age rating': 'TV-14'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [], 'rent_hd': [], 'buy_hd': [{'Amazon Video': '3 Seasons HD '}, {'Vudu': '3 Seasons HD '}, {'Microsoft Store': '3 Seasons HD '}, {'Google Play Movies': '1 Season HD '}]}","{'stream_sd': [], 'rent_sd': [], 'buy_sd': [{'Amazon Video': '3 Seasons '}, {'Vudu': '3 Seasons '}, {'Microsoft Store': '3 Seasons '}, {'Google Play Movies': '1 Season '}]}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [], 'rent_best': [], 'buy_best': [{'Amazon Video': '3 Seasons '}, {'Vudu': '3 Seasons '}, {'Microsoft Store': '3 Seasons '}, {'Google Play Movies': '1 Season '}]}",https://www.imdb.com/title/tt6994156/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/close-enough,[],[],[],[],[],"[{'Amazon Video': '3 Seasons HD '}, {'Vudu': '3 Seasons HD '}, {'Microsoft Store': '3 Seasons HD '}, {'Google Play Movies': '1 Season HD '}]",[],[],"[{'Amazon Video': '3 Seasons '}, {'Vudu': '3 Seasons '}, {'Microsoft Store': '3 Seasons '}, {'Google Play Movies': '1 Season '}]",[],[],[],[],[],"[{'Amazon Video': '3 Seasons '}, {'Vudu': '3 Seasons '}, {'Microsoft Store': '3 Seasons '}, {'Google Play Movies': '1 Season '}]", 88%  7.8 (11k) ,"Comedy , Animation , Romance , Science-Fiction , Action & Adventure , Mystery & Thriller , Drama , Fantasy ",18min,TV-14
4, Jujutsu Kaisen , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/jujutsu-kaisen/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/jujutsu-kaisen/season-1'}]","{'Rating': ' 95%  8.6 (55k) ', 'Genres': 'Action & Adventure , Science-Fiction , Fantasy , Mystery & Thriller , Animation ', 'Runtime': '24min', 'Age rating': 'TV-MA'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'HBO Max': '1 Season HD '}, {'Funimation Now': '1 Season HD '}, {'VRV': '1 Season HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'HBO Max': '1 Season '}, {'Funimation Now': '1 Season '}, {'Crunchyroll': '1 Season '}, {'VRV': '1 Season '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [{'Crunchyroll': '1 Season '}, {'VRV': '1 Season HD '}], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'HBO Max': '1 Season HD '}, {'Funimation Now': '1 Season HD '}, {'Crunchyroll': '1 Season '}, {'VRV': '1 Season HD '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt12343534/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/jujutsu-kaisen,[],[],[],"[{'HBO Max': '1 Season HD '}, {'Funimation Now': '1 Season HD '}, {'VRV': '1 Season HD '}]",[],[],"[{'HBO Max': '1 Season '}, {'Funimation Now': '1 Season '}, {'Crunchyroll': '1 Season '}, {'VRV': '1 Season '}]",[],[],"[{'Crunchyroll': '1 Season '}, {'VRV': '1 Season HD '}]",[],[],"[{'HBO Max': '1 Season HD '}, {'Funimation Now': '1 Season HD '}, {'Crunchyroll': '1 Season '}, {'VRV': '1 Season HD '}]",[],[], 95%  8.6 (55k) ,"Action & Adventure , Science-Fiction , Fantasy , Mystery & Thriller , Animation ",24min,TV-MA
5, DC's Stargirl , (2020) ,"[{' Season 3 ': 'https://www.justwatch.com/us/tv-show/stargirl/season-3'}, {' Season 2 ': 'https://www.justwatch.com/us/tv-show/stargirl/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/stargirl/season-1'}]","{'Rating': ' 84%  7.2 (17k) ', 'Genres': 'Science-Fiction , Action & Adventure , Fantasy , Crime , Drama ', 'Runtime': '42min', 'Age rating': 'TV-14'}",,,,,"{'stream_best': [{'HBO Max': '2 Seasons HD '}, {'The CW': '2 Seasons '}, {'CW Seed': '2 Seasons '}, {'fuboTV': '1 Season '}, {'DIRECTV': '1 Season '}, {'Spectrum On Demand': '1 Season HD '}], 'rent_best': [], 'buy_best': [{'Amazon Video': '3 Seasons '}, {'Microsoft Store': '3 Seasons '}, {'Vudu': '3 Seasons HD '}, {'Apple iTunes': '2 Seasons HD '}, {'Google Play Movies': '1 Season HD '}]}",https://www.imdb.com/title/tt8722888/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/stargirl,,,,,,,,,,,,,"[{'HBO Max': '2 Seasons HD '}, {'The CW': '2 Seasons '}, {'CW Seed': '2 Seasons '}, {'fuboTV': '1 Season '}, {'DIRECTV': '1 Season '}, {'Spectrum On Demand': '1 Season HD '}]",[],"[{'Amazon Video': '3 Seasons '}, {'Microsoft Store': '3 Seasons '}, {'Vudu': '3 Seasons HD '}, {'Apple iTunes': '2 Seasons HD '}, {'Google Play Movies': '1 Season HD '}]", 84%  7.2 (17k) ,"Science-Fiction , Action & Adventure , Fantasy , Crime , Drama ",42min,TV-14
6, Gangs of London , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/gangs-of-london/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/gangs-of-london/season-1'}]","{'Rating': ' 87%  8.1 (28k) ', 'Genres': 'Crime , Drama , Action & Adventure ', 'Runtime': '59min', 'Age rating': 'TV-MA'}",,,,,"{'stream_best': [{'Amazon Prime Video': '1 Season HD '}, {'fuboTV': '1 Season '}, {'AMC+ Amazon Channel': '1 Season HD '}, {'The Roku Channel': '1 Season HD '}, {'AMC+ Roku Premium Channel': '1 Season HD '}, {'AMC+': '1 Season HD '}], 'rent_best': [], 'buy_best': [{'Vudu': '1 Season '}, {'Amazon Video': '1 Season '}, {'Google Play Movies': '1 Season '}]}",https://www.imdb.com/title/tt7661390/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/gangs-of-london,,,,,,,,,,,,,"[{'Amazon Prime Video': '1 Season HD '}, {'fuboTV': '1 Season '}, {'AMC+ Amazon Channel': '1 Season HD '}, {'The Roku Channel': '1 Season HD '}, {'AMC+ Roku Premium Channel': '1 Season HD '}, {'AMC+': '1 Season HD '}]",[],"[{'Vudu': '1 Season '}, {'Amazon Video': '1 Season '}, {'Google Play Movies': '1 Season '}]", 87%  8.1 (28k) ,"Crime , Drama , Action & Adventure ",59min,TV-MA
7, Tehran , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/tehran/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/tehran/season-1'}]","{'Rating': ' 83%  7.5 (17k) ', 'Genres': 'Drama , Mystery & Thriller , Action & Adventure , Crime ', 'Runtime': '46min', 'Age rating': 'TV-MA'}","{'stream_4k': [{'Apple TV Plus': '2 Seasons 4K '}], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Apple TV Plus': '2 Seasons HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'Apple TV Plus': '2 Seasons '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Apple TV Plus': '2 Seasons 4K '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt10577736/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/tehran,[{'Apple TV Plus': '2 Seasons 4K '}],[],[],[{'Apple TV Plus': '2 Seasons HD '}],[],[],[{'Apple TV Plus': '2 Seasons '}],[],[],[],[],[],[{'Apple TV Plus': '2 Seasons 4K '}],[],[], 83%  7.5 (17k) ,"Drama , Mystery & Thriller , Action & Adventure , Crime ",46min,TV-MA
8, Jurassic World: Camp Cretaceous , (2020) ,"[{' Season 5 ': 'https://www.justwatch.com/us/tv-show/jurassic-world-camp-cretaceous/season-5'}, {' Season 4 ': 'https://www.justwatch.com/us/tv-show/jurassic-world-camp-cretaceous/season-4'}, {' Season 3 ': 'https://www.justwatch.com/us/tv-show/jurassic-world-camp-cretaceous/season-3'}, {' Season 2 ': 'https://www.justwatch.com/us/tv-show/jurassic-world-camp-cretaceous/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/jurassic-world-camp-cretaceous/season-1'}]","{'Rating': ' 86%  7.5 (8k) ', 'Genres': 'Action & Adventure , Kids & Family , Science-Fiction , Animation ', 'Runtime': '24min', 'Age rating': 'TV-PG'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Netflix': '5 Seasons HD '}], 'rent_hd': [], 'buy_hd': [{'Apple iTunes': '3 Seasons HD '}, {'Amazon Video': '3 Seasons HD '}, {'Google Play Movies': '3 Seasons HD '}, {'Vudu': '3 Seasons HD '}]}","{'stream_sd': [{'Netflix': '5 Seasons '}], 'rent_sd': [], 'buy_sd': [{'Apple iTunes': '3 Seasons '}, {'Amazon Video': '3 Seasons '}, {'Google Play Movies': '3 Seasons '}, {'Vudu': '3 Seasons '}]}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Netflix': '5 Seasons HD '}], 'rent_best': [], 'buy_best': [{'Apple iTunes': '3 Seasons '}, {'Amazon Video': '3 Seasons '}, {'Google Play Movies': '3 Seasons '}, {'Vudu': '3 Seasons '}]}",https://www.imdb.com/title/tt10436228/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/jurassic-world-camp-cretaceous,[],[],[],[{'Netflix': '5 Seasons HD '}],[],"[{'Apple iTunes': '3 Seasons HD '}, {'Amazon Video': '3 Seasons HD '}, {'Google Play Movies': '3 Seasons HD '}, {'Vudu': '3 Seasons HD '}]",[{'Netflix': '5 Seasons '}],[],"[{'Apple iTunes': '3 Seasons '}, {'Amazon Video': '3 Seasons '}, {'Google Play Movies': '3 Seasons '}, {'Vudu': '3 Seasons '}]",[],[],[],[{'Netflix': '5 Seasons HD '}],[],"[{'Apple iTunes': '3 Seasons '}, {'Amazon Video': '3 Seasons '}, {'Google Play Movies': '3 Seasons '}, {'Vudu': '3 Seasons '}]", 86%  7.5 (8k) ,"Action & Adventure , Kids & Family , Science-Fiction , Animation ",24min,TV-PG
9, The Owl House , (2020) ,"[{' Season 3 ': 'https://www.justwatch.com/us/tv-show/the-owl-house/season-3'}, {' Season 2 ': 'https://www.justwatch.com/us/tv-show/the-owl-house/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/the-owl-house/season-1'}]","{'Rating': ' 94%  8.2 (10k) ', 'Genres': 'Fantasy , Science-Fiction , Action & Adventure , Drama , Kids & Family , Animation , Comedy , Horror , Mystery & Thriller ', 'Runtime': '24min'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Disney Plus': '2 Seasons HD '}, {'DIRECTV': '2 Seasons HD '}, {'DisneyNOW': '1 Season HD '}], 'rent_hd': [], 'buy_hd': [{'Google Play Movies': '3 Seasons HD '}, {'Apple iTunes': '2 Seasons HD '}, {'Microsoft Store': '1 Season HD '}]}","{'stream_sd': [{'Disney Plus': '2 Seasons '}, {'DIRECTV': '2 Seasons '}, {'DisneyNOW': '1 Season '}], 'rent_sd': [], 'buy_sd': [{'Google Play Movies': '3 Seasons '}, {'Apple iTunes': '2 Seasons '}, {'Microsoft Store': '1 Season '}]}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Disney Plus': '2 Seasons HD '}, {'DIRECTV': '2 Seasons HD '}, {'DisneyNOW': '1 Season HD '}], 'rent_best': [], 'buy_best': [{'Google Play Movies': '3 Seasons '}, {'Apple iTunes': '2 Seasons '}, {'Microsoft Store': '1 Season '}]}",https://www.imdb.com/title/tt8050756/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/the-owl-house,[],[],[],"[{'Disney Plus': '2 Seasons HD '}, {'DIRECTV': '2 Seasons HD '}, {'DisneyNOW': '1 Season HD '}]",[],"[{'Google Play Movies': '3 Seasons HD '}, {'Apple iTunes': '2 Seasons HD '}, {'Microsoft Store': '1 Season HD '}]","[{'Disney Plus': '2 Seasons '}, {'DIRECTV': '2 Seasons '}, {'DisneyNOW': '1 Season '}]",[],"[{'Google Play Movies': '3 Seasons '}, {'Apple iTunes': '2 Seasons '}, {'Microsoft Store': '1 Season '}]",[],[],[],"[{'Disney Plus': '2 Seasons HD '}, {'DIRECTV': '2 Seasons HD '}, {'DisneyNOW': '1 Season HD '}]",[],"[{'Google Play Movies': '3 Seasons '}, {'Apple iTunes': '2 Seasons '}, {'Microsoft Store': '1 Season '}]", 94%  8.2 (10k) ,"Fantasy , Science-Fiction , Action & Adventure , Drama , Kids & Family , Animation , Comedy , Horror , Mystery & Thriller ",24min,
10, COBRA , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/cobra-2020/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/cobra-2020/season-1'}]","{'Rating': ' 65%  6.3 (3k) ', 'Genres': 'Drama , Action & Adventure , Mystery & Thriller ', 'Runtime': '44min', 'Age rating': 'TV-14'}",,,,,"{'stream_best': [{'PBS Masterpiece Amazon Channel': '2 Seasons HD '}], 'rent_best': [], 'buy_best': [{'Vudu': '2 Seasons '}, {'Amazon Video': '2 Seasons '}, {'Google Play Movies': '2 Seasons '}]}",https://www.imdb.com/title/tt10062652/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/cobra-2020,,,,,,,,,,,,,[{'PBS Masterpiece Amazon Channel': '2 Seasons HD '}],[],"[{'Vudu': '2 Seasons '}, {'Amazon Video': '2 Seasons '}, {'Google Play Movies': '2 Seasons '}]", 65%  6.3 (3k) ,"Drama , Action & Adventure , Mystery & Thriller ",44min,TV-14
