,title,season_1_year,season_urls,detail,4k prices,hd prices,sd prices,free,best prices,imdb_link,tite url,stream_4k,rent_4k,buy_4k,stream_hd,rent_hd,buy_hd,stream_sd,rent_sd,buy_sd,stream_free,rent_free,buy_free,stream_best,rent_best,buy_best,Rating,Genres,Runtime,Age rating
18, Looney Tunes Cartoons , (2020) ,"[{' Season 5 ': 'https://www.justwatch.com/us/tv-show/looney-tunes-cartoons/season-5'}, {' Season 4 ': 'https://www.justwatch.com/us/tv-show/looney-tunes-cartoons/season-4'}, {' Season 3 ': 'https://www.justwatch.com/us/tv-show/looney-tunes-cartoons/season-3'}, {' Season 2 ': 'https://www.justwatch.com/us/tv-show/looney-tunes-cartoons/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/looney-tunes-cartoons/season-1'}]","{'Rating': ' 85%  7.9 (1k) ', 'Genres': 'Comedy , Action & Adventure , Mystery & Thriller , Animation , Kids & Family ', 'Runtime': '9min', 'Age rating': 'TV-PG'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'HBO Max': '5 Seasons HD '}], 'rent_hd': [], 'buy_hd': [{'Amazon Video': '4 Seasons HD '}, {'Apple iTunes': '4 Seasons HD '}, {'Vudu': '4 Seasons HD '}]}","{'stream_sd': [{'HBO Max': '5 Seasons '}], 'rent_sd': [], 'buy_sd': [{'Amazon Video': '4 Seasons '}, {'Apple iTunes': '4 Seasons '}, {'Vudu': '4 Seasons '}]}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'HBO Max': '5 Seasons HD '}], 'rent_best': [], 'buy_best': [{'Amazon Video': '4 Seasons '}, {'Apple iTunes': '4 Seasons '}, {'Vudu': '4 Seasons '}]}",https://www.imdb.com/title/tt8543208/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/looney-tunes-cartoons,[],[],[],[{'HBO Max': '5 Seasons HD '}],[],"[{'Amazon Video': '4 Seasons HD '}, {'Apple iTunes': '4 Seasons HD '}, {'Vudu': '4 Seasons HD '}]",[{'HBO Max': '5 Seasons '}],[],"[{'Amazon Video': '4 Seasons '}, {'Apple iTunes': '4 Seasons '}, {'Vudu': '4 Seasons '}]",[],[],[],[{'HBO Max': '5 Seasons HD '}],[],"[{'Amazon Video': '4 Seasons '}, {'Apple iTunes': '4 Seasons '}, {'Vudu': '4 Seasons '}]", 85%  7.9 (1k) ,"Comedy , Action & Adventure , Mystery & Thriller , Animation , Kids & Family ",9min,TV-PG
19, The Daily Life of the Immortal King , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/the-daily-life-of-the-immortal-king/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/the-daily-life-of-the-immortal-king/season-1'}]","{'Rating': ' 88%  7.2 (1k) ', 'Genres': 'Science-Fiction , Animation , Action & Adventure , Comedy , Fantasy ', 'Runtime': '19min', 'Age rating': 'TV-14'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Funimation Now': '2 Seasons HD '}, {'Netflix': '1 Season HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'Funimation Now': '2 Seasons '}, {'Netflix': '1 Season '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Funimation Now': '2 Seasons HD '}, {'Netflix': '1 Season HD '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt11755260/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/the-daily-life-of-the-immortal-king,[],[],[],"[{'Funimation Now': '2 Seasons HD '}, {'Netflix': '1 Season HD '}]",[],[],"[{'Funimation Now': '2 Seasons '}, {'Netflix': '1 Season '}]",[],[],[],[],[],"[{'Funimation Now': '2 Seasons HD '}, {'Netflix': '1 Season HD '}]",[],[], 88%  7.2 (1k) ,"Science-Fiction , Animation , Action & Adventure , Comedy , Fantasy ",19min,TV-14
20, Helstrom , (2020) ,[{' Season 1 ': 'https://www.justwatch.com/us/tv-show/helstrom/season-1'}],"{'Rating': ' 75%  6.7 (8k) ', 'Genres': 'Science-Fiction , Drama , Action & Adventure , Fantasy , Horror ', 'Runtime': '50min', 'Age rating': 'TV-MA'}",,,,,"{'stream_best': [{'Hulu': '1 Season HD '}], 'rent_best': [], 'buy_best': [{'Apple iTunes': '1 Season '}, {'Amazon Video': '1 Season '}, {'Google Play Movies': '1 Season '}, {'Vudu': '1 Season '}]}",https://www.imdb.com/title/tt10266874/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/helstrom,,,,,,,,,,,,,[{'Hulu': '1 Season HD '}],[],"[{'Apple iTunes': '1 Season '}, {'Amazon Video': '1 Season '}, {'Google Play Movies': '1 Season '}, {'Vudu': '1 Season '}]", 75%  6.7 (8k) ,"Science-Fiction , Drama , Action & Adventure , Fantasy , Horror ",50min,TV-MA
21, Barbarians , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/barbarians/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/barbarians/season-1'}]","{'Rating': ' 81%  7.2 (24k) ', 'Genres': 'Action & Adventure , Drama , History ', 'Runtime': '46min', 'Age rating': 'TV-MA'}","{'stream_4k': [{'Netflix': '1 Season 4K '}], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Netflix': '1 Season HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'Netflix': '1 Season '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Netflix': '1 Season 4K '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt9184986/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/barbarians,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 81%  7.2 (24k) ,"Action & Adventure , Drama , History ",46min,TV-MA
22, Warrior Nun , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/warrior-nun/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/warrior-nun/season-1'}]","{'Rating': ' 82%  6.9 (30k) ', 'Genres': 'Action & Adventure , Drama , Science-Fiction , Fantasy ', 'Runtime': '43min', 'Age rating': 'TV-MA'}",,,,,"{'stream_best': [{'Netflix': '1 Season 4K '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt9059350/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/warrior-nun,,,,,,,,,,,,,[{'Netflix': '1 Season 4K '}],[],[], 82%  6.9 (30k) ,"Action & Adventure , Drama , Science-Fiction , Fantasy ",43min,TV-MA
23, Tower of God , (2020) ,[{' Season 1 ': 'https://www.justwatch.com/us/tv-show/tower-of-god/season-1'}],"{'Rating': ' 89%  7.7 (5k) ', 'Genres': 'Mystery & Thriller , Action & Adventure , Science-Fiction , Drama , Animation , Fantasy ', 'Runtime': '23min', 'Age rating': 'TV-14'}",,,,,"{'stream_best': [{'Crunchyroll': '1 Season '}, {'VRV': '1 Season HD '}], 'rent_best': [], 'buy_best': [{'Apple iTunes': '1 Season '}, {'Amazon Video': '1 Season '}, {'Google Play Movies': '1 Season '}, {'Vudu': '1 Season '}]}",https://www.imdb.com/title/tt12057106/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/tower-of-god,,,,,,,,,,,,,"[{'Crunchyroll': '1 Season '}, {'VRV': '1 Season HD '}]",[],"[{'Apple iTunes': '1 Season '}, {'Amazon Video': '1 Season '}, {'Google Play Movies': '1 Season '}, {'Vudu': '1 Season '}]", 89%  7.7 (5k) ,"Mystery & Thriller , Action & Adventure , Science-Fiction , Drama , Animation , Fantasy ",23min,TV-14
24, Ragnarok , (2020) ,"[{' Season 2 ': 'https://www.justwatch.com/us/tv-show/ragnarok/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/ragnarok/season-1'}]","{'Rating': ' 87%  7.5 (37k) ', 'Genres': 'Action & Adventure , Drama , Fantasy , Mystery & Thriller , Science-Fiction ', 'Runtime': '47min', 'Age rating': 'TV-MA'}","{'stream_4k': [{'Netflix': '2 Seasons 4K '}], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Netflix': '2 Seasons HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'Netflix': '2 Seasons '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Netflix': '2 Seasons 4K '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt9251798/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/ragnarok,[{'Netflix': '2 Seasons 4K '}],[],[],[{'Netflix': '2 Seasons HD '}],[],[],[{'Netflix': '2 Seasons '}],[],[],[],[],[],[{'Netflix': '2 Seasons 4K '}],[],[], 87%  7.5 (37k) ,"Action & Adventure , Drama , Fantasy , Mystery & Thriller , Science-Fiction ",47min,TV-MA
25, Utopia , (2020) ,[{' Season 1 ': 'https://www.justwatch.com/us/tv-show/utopia-2020/season-1'}],"{'Rating': ' 78%  6.7 (13k) ', 'Genres': 'Drama , Action & Adventure , Mystery & Thriller , Science-Fiction ', 'Runtime': '49min', 'Age rating': 'TV-MA'}","{'stream_4k': [{'Amazon Prime Video': '1 Season 4K '}], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Amazon Prime Video': '1 Season HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'Amazon Prime Video': '1 Season '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Amazon Prime Video': '1 Season 4K '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt8303474/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/utopia-2020,[{'Amazon Prime Video': '1 Season 4K '}],[],[],[{'Amazon Prime Video': '1 Season HD '}],[],[],[{'Amazon Prime Video': '1 Season '}],[],[],[],[],[],[{'Amazon Prime Video': '1 Season 4K '}],[],[], 78%  6.7 (13k) ,"Drama , Action & Adventure , Mystery & Thriller , Science-Fiction ",49min,TV-MA
26, Pokémon Journeys: The Series , (2020) ,[{' Season 1 ': 'https://www.justwatch.com/us/tv-show/pokemon-journeys-the-series/season-1'}],"{'Rating': ' 69%  6.9 ', 'Genres': 'Animation , Science-Fiction , Action & Adventure , Comedy , Kids & Family , Fantasy ', 'Runtime': '22min', 'Age rating': 'TV-PG'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Netflix': '1 Season HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'Netflix': '1 Season '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Netflix': '1 Season HD '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt14033496/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/pokemon-journeys-the-series,[],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season HD '}],[],[], 69%  6.9 ,"Animation , Science-Fiction , Action & Adventure , Comedy , Kids & Family , Fantasy ",22min,TV-PG
27, Amazing Stories , (2020) ,[{' Season 1 ': 'https://www.justwatch.com/us/tv-show/amazing-stories-2020/season-1'}],"{'Rating': ' 76%  6.2 (6k) ', 'Genres': 'Action & Adventure , Science-Fiction , Drama , Fantasy ', 'Runtime': '51min', 'Age rating': 'TV-PG'}","{'stream_4k': [{'Apple TV Plus': '1 Season 4K '}], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Apple TV Plus': '1 Season HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'Apple TV Plus': '1 Season '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Apple TV Plus': '1 Season 4K '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt5165368/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/amazing-stories-2020,[{'Apple TV Plus': '1 Season 4K '}],[],[],[{'Apple TV Plus': '1 Season HD '}],[],[],[{'Apple TV Plus': '1 Season '}],[],[],[],[],[],[{'Apple TV Plus': '1 Season 4K '}],[],[], 76%  6.2 (6k) ,"Action & Adventure , Science-Fiction , Drama , Fantasy ",51min,TV-PG
28, Cursed , (2020) ,[{' Season 1 ': 'https://www.justwatch.com/us/tv-show/cursed/season-1'}],"{'Rating': ' 74%  5.9 (30k) ', 'Genres': 'Action & Adventure , Science-Fiction , Drama , Fantasy ', 'Runtime': '55min', 'Age rating': 'TV-MA'}","{'stream_4k': [{'Netflix': '1 Season 4K '}], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Netflix': '1 Season HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [{'Netflix': '1 Season '}], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Netflix': '1 Season 4K '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt8210856/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/cursed,[{'Netflix': '1 Season 4K '}],[],[],[{'Netflix': '1 Season HD '}],[],[],[{'Netflix': '1 Season '}],[],[],[],[],[],[{'Netflix': '1 Season 4K '}],[],[], 74%  5.9 (30k) ,"Action & Adventure , Science-Fiction , Drama , Fantasy ",55min,TV-MA
29, Code 404 , (2020) ,"[{' Season 3 ': 'https://www.justwatch.com/us/tv-show/code-404/season-3'}, {' Season 2 ': 'https://www.justwatch.com/us/tv-show/code-404/season-2'}, {' Season 1 ': 'https://www.justwatch.com/us/tv-show/code-404/season-1'}]","{'Rating': ' 72%  6.3 (2k) ', 'Genres': 'Action & Adventure , Comedy , Crime , Science-Fiction , Mystery & Thriller ', 'Runtime': '25min'}","{'stream_4k': [], 'rent_4k': [], 'buy_4k': []}","{'stream_hd': [{'Peacock Premium': '2 Seasons HD '}, {'Peacock': '1 Season HD '}], 'rent_hd': [], 'buy_hd': []}","{'stream_sd': [], 'rent_sd': [], 'buy_sd': []}","{'stream_free': [{'Peacock': '1 Season HD '}, {'Peacock Premium': '1 Season HD '}], 'rent_free': [], 'buy_free': []}","{'stream_best': [{'Peacock Premium': '2 Seasons HD '}, {'Peacock': '1 Season HD '}], 'rent_best': [], 'buy_best': []}",https://www.imdb.com/title/tt9169784/?ref_=ref_ext_justwatch,https://www.justwatch.com/us/tv-show/code-404,[],[],[],"[{'Peacock Premium': '2 Seasons HD '}, {'Peacock': '1 Season HD '}]",[],[],[],[],[],"[{'Peacock': '1 Season HD '}, {'Peacock Premium': '1 Season HD '}]",[],[],"[{'Peacock Premium': '2 Seasons HD '}, {'Peacock': '1 Season HD '}]",[],[], 72%  6.3 (2k) ,"Action & Adventure , Comedy , Crime , Science-Fiction , Mystery & Thriller ",25min,
