,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Modelo,Modelo alfanumérico,Voltagem,Frequência,É smart,É curvo,Sistema operativo,Com cabos escondidos,Com sistema de montagem VESA incorporado,Largura x Profundidade x Altura,Peso,Largura com suporte,Profundidade com suporte,Altura com suporte,Peso com suporte,Quantidade de alto-falantes,Potência máxima dos alto-falantes,Modos de som,Com função screen share,Com comando de voz integrado,Assistentes virtuais integrados,Apps integradas,Tipo de tela,Tamanho da tela,Tipo de resolução,Com HDR,Resolução máxima,Relação de aspecto,Taxa de atualização da tela,Com USB,Com HDMI,Quantidade de portas HDMI,Quantidade de portas USB,Com Wi-Fi,Com Bluetooth,Com ethernet,Com entrada S/PDIF,Com entrada por vídeo componente,Com entrada por vídeo composto,Com entrada de antena RF,Acessórios incluídos,Linha,Cor,É 3D,É portátil,Com desligamento automático,Ângulo de visão horizontal,Ângulo de visão vertical,Com VGA,Quantidade de núcleos do processador,Relação de contraste,Capacidade de armazenamento,Número de registro/certificação INMETRO,É kit,Organismo de certificação (OCP),Número de certificado de segurança elétrica,Brilho,Tempo de resposta,Países com controle mágico incluido,Largura x Altura,Largura
0,"Smart TV Samsung UN43AU7700GXZD LED Tizen 4K 43"" 100V/240V",BR,4.7,Televisores,reales,2899,1999,31,10,1999,(3648 disponíveis),620,https://www.mercadolivre.com.br/smart-tv-samsung-un43au7700gxzd-led-tizen-4k-43-100v240v/p/MLB18500640?pdp_filters=category:MLB1002#searchVariation=MLB18500640&position=1&search_layout=grid&type=produ,06/04/2023 17:57:24,Samsung,UN43AU7700G,UN43AU7700GXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,Sim,Sim,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,963.9 mm,192.5 mm,627.8 mm,8.3 kg,2,20 W,Dolby Digital Plus,Sim,Sim,"Alexa, Bixby, Google Assistant","Web browser, Gallery, Netflix, Prime Video, GloboPlay, YouTube, Apple TV, TELECINE, Disney+, DAZN, HBO Go, Spotify, Deezer",LED,"43 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,1,Sim,Sim,Sim,Sim,Não,Não,Sim,"Smart control TM2180A, Baterias, Manual, Manual eletronico, Cabo de alimentação",,,,,,,,,,,,,,,,,,,,
1,Smart Tv LG Ai Thinq 50uq801c0sb Led 4k 50  100v/240v,BR,4.9,Televisores,reales,2899,2499,13,5,2499,(1384 disponíveis),576,https://www.mercadolivre.com.br/smart-tv-lg-ai-thinq-50uq801c0sb-led-4k-50-100v240v/p/MLB19600635?pdp_filters=category:MLB1002#searchVariation=MLB19600635&position=2&search_layout=grid&type=product&tr,06/04/2023 17:57:41,LG,50UQ801C,50UQ801C0SB,100V/240V,50 Hz/60 Hz,Sim,Não,webOS 6.0,Não,Sim,112 cm x 5.7 cm x 65.1 cm,11.8 kg,112 cm,23.1 cm,71.3 cm,12 kg,2,20 W,Ultra Surround,Sim,Sim,"Alexa, Google Assistant",Apple airplay,LED,"50 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,Não,Não,Não,Não,Sim,"Controle smart magic, Cabo de alimentação",AI ThinQ,Preto,Não,Não,Sim,178°,178°,Não,,,,,,,,,,,,
2,"Smart TV Philco PTV43D10AG11SKF LED Android TV Full HD 43"" 110V/220V",BR,4.8,Televisores,reales,2998,1698,43,1000,1698,(1061 disponíveis),289,https://www.mercadolivre.com.br/smart-tv-philco-ptv43d10ag11skf-led-android-tv-full-hd-43-110v220v/p/MLB21918644?pdp_filters=category:MLB1002#searchVariation=MLB21918644&position=3&search_layout=grid&,06/04/2023 17:57:55,Philco,PTV43D10AG11SKF,,110V/220V,,Sim,Não,Android TV,,Sim,955 mm x 100 mm x 555 mm,6.9 kg,955 mm,190 mm,603 mm,7.1 kg,2,30 W,Dolby Audio,Sim,Sim,Google Assistant,"Netflix, GloboPlay, Prime Video, YouTube, Google Play Store",LED,"43 """,Full HD,,1920 px - 1080 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,Sim,Sim,,Sim,Sim,"Controle remoto, Cabo de alimentação, Base, Parafusos, Manual",,,,,,,,,4,,,,,,,,,,,
3,Smart Tv Aiwa 50  Android 4k Hdr10 Dolby Aws-tv-50-bl-02-a,BR,4.7,Televisores,reales,4528,2199,51,500,2199,(127 disponíveis),91,https://www.mercadolivre.com.br/smart-tv-aiwa-50-android-4k-hdr10-dolby-aws-tv-50-bl-02-a/p/MLB20921202?pdp_filters=category:MLB1002#searchVariation=MLB20921202&position=4&search_layout=grid&type=prod,06/04/2023 17:58:10,Aiwa,AWS-TV-50-BL-02-A,5026-01,110V/220V,,Sim,Não,,,,,,,,,,,,,,,,,LED,"50 """,4K,Sim,3840 px - 2160 px,,,Sim,Sim,,,Sim,,,,,,,,bl02a,Preto,Não,Não,,178°,178°,,,4000:01:00,,,,,,,,,,
4,Tv Smart LG 32'' Hd 32lq620 Wifi Bluetooth Hdr Thinqai Compatível Com Smart Magic Google Alexa 100v/240v,BR,4.7,Televisores,reales,1399,1245,11,5,1245,(36 disponíveis),437,https://www.mercadolivre.com.br/tv-smart-lg-32-hd-32lq620-wifi-bluetooth-hdr-thinqai-compativel-com-smart-magic-google-alexa-100v240v/p/MLB19570010?pdp_filters=category:MLB1002#searchVariation=MLB1957,06/04/2023 17:58:25,LG,32LQ620,,100V/240V,60Hz,Sim,Não,webOS 22,,,740 mm x 86 mm x 440 mm,4.9 kg,740 mm,180 mm,470 mm,4.95 kg,,,,,,,,LED,"32 """,HD,Sim,1366 px - 768 px,16:9,,Sim,Sim,2,1,Sim,Sim,Sim,,,,,,ThinQ AI,Preto,Não,Não,,,,,,,,,,,,,,,,
5,"Smart TV Philips 6900 Series 43PFG6917/78 LED Android 10 Full HD 43"" 110V/240V",BR,4.7,Televisores,reales,2649,1799,32,5,1799,(2303 disponíveis),489,https://www.mercadolivre.com.br/smart-tv-philips-6900-series-43pfg691778-led-android-10-full-hd-43-110v240v/p/MLB19689638?pdp_filters=category:MLB1002#searchVariation=MLB19689638&position=6&search_lay,06/04/2023 17:58:39,Philips,43PFG6917,43PFG6917/78,110V/240V,50 Hz x 60 Hz,Sim,Não,Android 10,,,,,,,,,2,16 W,Dolby Atmos,,Sim,Google Assistant,"YouTube, Prime Video, Netflix, Disney+, Google Play Store",LED,"43 """,Full HD,Sim,1920 px - 1080 px,16:9,,Sim,Sim,3,2,Sim,Sim,Sim,Sim,,,Sim,"Baterias, Cabo de alimentação, Guia de instalação, Suporte para mesa, Controle remoto",6900 Series,,,,Sim,,,,,,8 GB,,,,,,,,,
6,"Smart TV Samsung QN85Q70AAGXZD QLED Tizen 4K 85"" 100V/240V",BR,5.0,Televisores,reales,,18531,15,25,18531,(22 disponíveis),1,https://www.mercadolivre.com.br/smart-tv-samsung-qn85q70aagxzd-qled-tizen-4k-85-100v240v/p/MLB19051971?pdp_filters=category:MLB1002#searchVariation=MLB19051971&position=7&search_layout=grid&type=produ,06/04/2023 17:58:52,Samsung,QN85Q70AAG,QN85Q70AAGXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,,Sim,1901.7 mm x 26.9 mm x 1086.5 mm,41.5 kg,1901.7 mm,368.3 mm,1153 mm,43.2 kg,2,20 W,"Dolby Digital Plus, Adaptive Sound, Sound in Motion Plus, Q-Symphony",Sim,Sim,"Bixby, Google Assistant, Alexa","Web browser, Gallery, SmartThings, Samsung TV Plus, Netflix, Prime Video, GloboPlay, YouTube, Apple TV, TELECINE, Disney+, DAZN, HBO Go, Spotify, Deezer",QLED,"85 """,4K,Sim,3840 px - 2160 px,16:9,120 Hz,Sim,Sim,4,2,Sim,Sim,Sim,Sim,Não,Sim,Sim,"Smart control TM2180E, Manual, Manual eletronico, Cabo de alimentação",,,,,Sim,,,,,,,,,,,,,,,
7,Smart Tv 43'' 4k Uhd Crystal Alexa 43au7700 Samsung Bivolt,BR,4.7,Televisores,reales,2899,1999,31,1000,1999,(3648 disponíveis),146,https://produto.mercadolivre.com.br/MLB-1848066223-smart-tv-43-4k-uhd-crystal-alexa-43au7700-samsung-bivolt-_JM#position=45&search_layout=grid&type=item&tracking_id=91cf7e8b-69b3-49b6-912e-ae69115e70f,06/04/2023 17:59:06,Samsung,UN43AU7700G,UN43AU7700GXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,Sim,Sim,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,963.9 mm,19.25 cm,627.8 mm,8.3 kg,2,20 W,Dolby Digital Plus,Sim,Sim,"Alexa,Bixby,Google Assistant","Web browser,Gallery,Netflix,Prime Video,GloboPlay,YouTube,Apple TV,TELECINE,Disney+,DAZN,HBO Go,Spotify,Deezer",LED,"43 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,1,Sim,Sim,Sim,Sim,Não,Não,Sim,"Smart control TM2180A,Baterias,Manual,Manual eletronico,Cabo de alimentação",2021,Cinza Titan,Não,Não,Sim,,,,,,,,,,,,,,,
8,Smart Tv 50'' 4k Android Hdr10 Dolby Aws-tv-50-bl-02-a Aiwa,BR,4.9,Televisores,reales,4528,2199,51,100,2199,(127 disponíveis),15,https://produto.mercadolivre.com.br/MLB-2850043621-smart-tv-50-4k-android-hdr10-dolby-aws-tv-50-bl-02-a-aiwa-_JM#position=46&search_layout=grid&type=item&tracking_id=91cf7e8b-69b3-49b6-912e-ae69115e70,06/04/2023 17:59:20,Aiwa,AWS-TV-50-BL-02-A,5026-01,220V/240V,60,Sim,Não,Android,Não,Sim,111.3 cm x 3.1 cm x 64.3 cm,9.9 kg,111.3 cm,7.2 cm,70.1 cm,9.9 kg,2,10 W,Dolby Digital,Sim,Sim,Google Assistant,"Netflix,Prime Video,YouTube",LED,"50 """,4K,Sim,3840 px - 2160 px,,60 Hz,Sim,Sim,3,2,Sim,Sim,Sim,Não,Sim,Não,Sim,Controle remoto,bl02a,Preto,Não,Não,Sim,178°,178°,Não,4,4000:01:00,,004.904/2022,Não,,,,,,,
9,Projetor Pj005 Tv Box,BR,None,Televisores,reales,,159,5,5,159,(87 disponíveis),,https://produto.mercadolivre.com.br/MLB-3275605703-projetor-pj005-tv-box-_JM#position=47&search_layout=grid&type=item&tracking_id=91cf7e8b-69b3-49b6-912e-ae69115e70f8,06/04/2023 17:59:33,Generic,Mini projetor portátil,1,110V/220V,,Sim,Não,,,,,,,,,,,,,,,,,LED,"24 """,4K,Não,,,,Sim,Sim,,,,,,,,,,,1,Água,Não,Sim,,,,,,,,1,,Bureau Veritas Argentina S.A.,1,,,,,
10,"Smart TV Philco PTV24G50SN DLED HD 24"" 110V/220V",BR,4.6,Televisores,reales,1499,869,42,10,869,(564 disponíveis),666,https://www.mercadolivre.com.br/smart-tv-philco-ptv24g50sn-dled-hd-24-110v220v/p/MLB16589955?pdp_filters=category:MLB1002#searchVariation=MLB16589955&position=8&search_layout=grid&type=product&trackin,06/04/2023 17:59:47,Philco,PTV24G50SN,,110V/220V,50 Hz x 60 Hz,Sim,,,,,,,,,,,2,16 W,Stereo,,,,"Web browser, Netflix, YouTube",DLED,"24 """,HD,Sim,1366 px - 768 px,16:9,,Sim,Sim,2,1,Sim,,Sim,Sim,,Sim,Sim,"Controle remoto, Cabo de alimentação",,,,,Sim,,,,4,3000000:1,,,,,,191 cd/m²,8.5 ms,,,
11,"Smart TV LG 24TL520S-PS LED HD 23.6""",BR,4.8,Televisores,reales,1299,939,27,50,939,(691 disponíveis),3481,https://www.mercadolivre.com.br/smart-tv-lg-24tl520s-ps-led-hd-236/p/MLB15188255?pdp_filters=category:MLB1002#searchVariation=MLB15188255&position=9&search_layout=grid&type=product&tracking_id=91cf7e8,06/04/2023 18:00:00,LG,24TL520S,24TL520S-PS,100V/240V,,Sim,,webOS 3.5,,,563.1 mm x 58 mm x 340.9 mm,3.25 kg,563.1 mm,150.1 mm,367 mm,3.3 kg,2,10 W,Stereo,Sim,,,"Web browser, YouTube, Prime Video",LED,"23.6 """,HD,,1366 px - 768 px,16:9,,Sim,Sim,2,1,Sim,Não,Sim,Sim,Sim,Sim,Sim,"Controle remoto, Cabo de alimentação, Baterias, Suporte para mesa, Parafusos, Manual",,,,,Sim,178°,178°,Não,,1000:1,,,,,,200 cd/m²,14 ms,,,
12,Tv Philco Ptv32a21dfh Led,BR,4.7,Televisores,reales,1300,999,23,1000,999,(1515 disponíveis),230,https://www.mercadolivre.com.br/tv-philco-ptv32a21dfh-led/p/MLB19844079?pdp_filters=category:MLB1002#searchVariation=MLB19844079&position=10&search_layout=grid&type=product&tracking_id=91cf7e8b-69b3-4,06/04/2023 18:00:14,Philco,PTV32A21DFH,,110V/220V,60 Hz,Não,,,,,73 cm x 7.5 cm x 43 cm,3.22 kg,,,,,,,,,,,,LED,"32 """,HD,,1366 px - 768 px,,,Sim,Sim,2,2,,,,,,,Sim,"Controle remoto, Cabo de alimentação, Base, Manual",,Preto,,Não,,,,,,,,,,,,235 cd/m²,6.5 ms,,,
13,"Smart TV Philco PTV50G10AG11SK DLED Android TV 4K 50"" 110V/220V",BR,4.7,Televisores,reales,2699,2199,18,1000,2199,(442 disponíveis),377,https://www.mercadolivre.com.br/smart-tv-philco-ptv50g10ag11sk-dled-android-tv-4k-50-110v220v/p/MLB19955272?pdp_filters=category:MLB1002#searchVariation=MLB19955272&position=11&search_layout=grid&type,06/04/2023 18:00:29,Philco,PTV50G10AG11SK,,110V/220V,,Sim,Não,Android TV,,,111 cm x 10.2 cm x 64 cm,9.7 kg,111 cm,25.8 cm,74 cm,10 kg,,,Dolby Audio,,Sim,,,DLED,"50 """,4K,,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,,,,,,,,,,,,,,,4,,,,,,,,,,,
14,"TV Philco PTV39N87D LED HD 39"" 110V/220V",BR,4.6,Televisores,reales,1600,1199,25,1000,1199,(702 disponíveis),101,https://www.mercadolivre.com.br/tv-philco-ptv39n87d-led-hd-39-110v220v/p/MLB14488459?pdp_filters=category:MLB1002#searchVariation=MLB14488459&position=12&search_layout=grid&type=product&tracking_id=91,06/04/2023 18:00:44,Philco,PTV39N87D,,110V/220V,,,,,,,88.5 cm x 8.1 cm x 50.5 cm,,,,,,,20 W,,,,,,LED,"39 """,HD,,1366 px - 768 px,16:9,,Sim,Sim,3,1,,,,,,,,"Controle remoto, Cabo de alimentação",,,,,,,,,,,,,,,,,,,,
15,"Smart TV LG ThinQ AI 43UQ7500PSF LCD webOS 4K 43"" 100V/240V",BR,4.7,Televisores,reales,2999,2099,30,1000,2099,(808 disponíveis),285,https://www.mercadolivre.com.br/smart-tv-lg-thinq-ai-43uq7500psf-lcd-webos-4k-43-100v240v/p/MLB19563560?pdp_filters=category:MLB1002#searchVariation=MLB19563560&position=13&search_layout=grid&type=pro,06/04/2023 18:00:59,LG,43UQ7500,43UQ7500PSF,100V/240V,50 Hz x 60 Hz,Sim,Não,webOS,,,,,,,,,2,20 W,"Dolby Digital, Surround, AI Sound",Sim,Sim,"ThinQ AI, Alexa",Web browser,LCD,"43 """,4K,Sim,3840 px - 2160 px,16:9,,Sim,Sim,3,1,Sim,Sim,,Sim,,Sim,Sim,"Cabo de alimentação, Baterias, Control remoto L-con",ThinQ AI,,,,,,,,4,,,,,,,,,,,
16,Smart Tv Philco Led 43' Ptv43d10ag11skf Android Fhd 110/220v,BR,4.8,Televisores,reales,2998,1698,43,1000,1698,(1060 disponíveis),291,https://produto.mercadolivre.com.br/MLB-3240013720-smart-tv-philco-led-43-ptv43d10ag11skf-android-fhd-110220v-_JM#position=48&search_layout=grid&type=item&tracking_id=91cf7e8b-69b3-49b6-912e-ae69115e7,06/04/2023 18:01:13,Philco,PTV43D10AG11SKF,PTV43D10AG11SKF,110V/220V,,Sim,Não,Android TV,,Sim,955 mm x 100 mm x 555 mm,6.9 kg,955 mm,190 mm,603 mm,7.1 kg,2,30 W,Dolby Audio,Sim,Sim,Google Assistant,"Netflix,GloboPlay,Prime Video,YouTube,Google Play Store",LED,"43 """,Full HD,Sim,1920 px - 1080 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,Sim,Sim,,Sim,Sim,"Controle remoto,Cabo de alimentação,Base,Parafusos,Manual",Android TV,Preto,Não,Não,,,,,4,,,000403/2018,,,,270 cd/m²,9.5 ms,,,
17,"Smart TV LG AI ThinQ 65UQ8050PSB LCD webOS 22 4K 65"" 100V/240V",BR,4.9,Televisores,reales,5710,4113,27,100,4113,(12 disponíveis),35,https://www.mercadolivre.com.br/smart-tv-lg-ai-thinq-65uq8050psb-lcd-webos-22-4k-65-100v240v/p/MLB19757685?pdp_filters=category:MLB1002#searchVariation=MLB19757685&position=14&search_layout=grid&type=,06/04/2023 18:01:25,LG,65UQ8050,65UQ8050PSB,100V/240V,50 Hz x 60 Hz,Sim,Não,webOS 22,,Sim,1454 mm x 57.7 mm x 838 mm,21.5 kg,1454 mm,269 mm,906 mm,21.8 kg,2,20 W,"AI Sound, AI Acoustic Tuning, Ultra Surround, Clear Voice Pro, Sound Share, AI Sound Pro, LG Sound Sync",Sim,Sim,"ThinQ AI, Google Assistant, Alexa","Music Player, Web browser, Netflix, Prime Video, Disney+, Apple TV, HBO Max, Claro Video, Directv GO, YouTube, LG Content Store",LCD,"65 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,,,Sim,Sim,Sim,Sim,,,Sim,"Cabo de alimentação, Controle remoto, Parafusos, Guia de instalação, Manual, Base",AI ThinQ,,,,Sim,,,,4,,8 GB,,,,,,,"Brasil, Perú, Colômbia, Chile",,
18,"Smart TV AOC 5135 Series 32S5135/78G DLED Roku OS HD 32"" 110V/240V",BR,4.8,Televisores,reales,1399,1289,7,100,1289,(2361 disponíveis),6,https://www.mercadolivre.com.br/smart-tv-aoc-5135-series-32s513578g-dled-roku-os-hd-32-110v240v/p/MLB22398656?pdp_filters=category:MLB1002#searchVariation=MLB22398656&position=15&search_layout=grid&ty,06/04/2023 18:01:40,AOC,32S5135/78G,,110V/240V,50 Hz x 60 Hz,Sim,Não,Roku OS,,Sim,716.3 mm x 75.6 mm x 432.9 mm,3.9 kg,716.3 mm,164.4 mm,466.2 mm,3.95 kg,2,10 W,Dolby Digital,,Sim,,"Netflix, YouTube, Prime Video, Disney+, Roku App, Star+, HBO Max, Apple TV, Spotify",DLED,"32 """,HD,,1368 px - 768 px,16:9,60 Hz,Sim,Sim,3,1,Sim,,Sim,Sim,,Sim,Sim,"Manual, Guia de instalação, Base, Parafusos, Cabo de alimentação, Controle remoto, Baterias",5135 Series,,,,Sim,178°,178°,,4,200000:1,512 MB,,,,,200 cd/m²,8 ms,,,
19,"Smart TV Toshiba 55C350KB DLED Vidaa 4K 55"" 100V/240V",BR,5.0,Televisores,,,,,,None,None,2,https://www.mercadolivre.com.br/smart-tv-toshiba-55c350kb-dled-vidaa-4k-55-100v240v/p/MLB18563197?pdp_filters=category:MLB1002#searchVariation=MLB18563197&position=16&search_layout=grid&type=product&t,06/04/2023 18:01:51,Toshiba,TB005,55C350KB,100V/240V,50 Hz x 60 Hz,Sim,,Vidaa,,Sim,1233 mm x 74 mm x 711 mm,11.3 kg,1233 mm,236 mm,758 mm,11.6 kg,,16 W,Dolby Atmos,Sim,Sim,Alexa,"Netflix, YouTube, Prime Video",DLED,"55 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,2,Sim,Sim,Sim,Sim,Sim,Sim,,,,,,,,178°,178°,,4,1200:1,4 GB,,,,,330 cd/m²,8 ms,,,
20,Smart Tv LG Ai Thinq 43uq751c0sf Led 4k43 100v/240v,BR,4.8,Televisores,reales,2749,1979,28,1000,1979,(314 disponíveis),238,https://www.mercadolivre.com.br/smart-tv-lg-ai-thinq-43uq751c0sf-led-4k43-100v240v/p/MLB19625084?pdp_filters=category:MLB1002#searchVariation=MLB19625084&position=17&search_layout=grid&type=product&tr,06/04/2023 18:02:06,LG,43UQ751C,43UQ751C0SF,100V/240V,50 Hz x 60 Hz,Sim,Não,,,,,,,,,,,,,,,,,LED,"43 """,4K,Sim,,16:9,60 Hz,Sim,Sim,,,Sim,,,,,,,,AI ThinQ,Preto,Não,Não,,,,,,,,,,,,,,,,
21,"Smart TV Philco PTV42G52RCF LED Roku OS Full HD 42"" 110V/220V",BR,4.6,Televisores,reales,1755,1599,8,10,1599,(74 disponíveis),1022,https://www.mercadolivre.com.br/smart-tv-philco-ptv42g52rcf-led-roku-os-full-hd-42-110v220v/p/MLB18464771?pdp_filters=category:MLB1002#searchVariation=MLB18464771&position=18&search_layout=grid&type=p,06/04/2023 18:02:20,Philco,PTV42G52RCF,,110V/220V,,Sim,,Roku OS,,Sim,,,,,,,2,20 W,Dolby Audio,Sim,,,,LED,"42 """,Full HD,,1920 px - 1080 px,16:9,60 Hz,Sim,Sim,3,2,Sim,,Sim,Sim,,Sim,Sim,"Controle remoto, Cabo de alimentação, Parafusos, Base, Adaptador AV, Guia de instalação",,,,,Sim,170°,170°,,4,3000000:1,,,,,,220 cd/m²,8 ms,,,
22,"Smart TV Samsung UN32T4300AGXZD LED HD 32""",BR,4.7,Televisores,reales,2315,1269,45,10,1269,(948 disponíveis),1802,https://www.mercadolivre.com.br/smart-tv-samsung-un32t4300agxzd-led-hd-32/p/MLB15822520?pdp_filters=category:MLB1002#searchVariation=MLB15822520&position=19&search_layout=grid&type=product&tracking_id,06/04/2023 18:02:35,Samsung,UN32T4300A,UN32T4300AGXZD,100V/240V,,Sim,Não,Tizen,,Sim,737.4 mm x 74.1 mm x 438 mm,4 kg,737.4 mm,150.5 mm,465.4 mm,4.1 kg,2,10 W,Dolby Digital Plus,Sim,Não,,"Web browser, Netflix, Prime Video, Apple TV, YouTube, Spotify, SmartThings, Gallery, Samsung Promotion, GloboPlay",LED,"32 """,HD,Sim,1366 px - 768 px,16:9,,Sim,Sim,2,1,Sim,Não,Sim,Sim,Sim,Sim,Sim,"Control remoto TM1240A, Baterias, Manual, Manual eletronico, Cabo de alimentação",,,,,Sim,,,,,,,,,,,,,,,
23,"Smart TV Samsung UN50AU7700GXZD LED Tizen 4K 50"" 100V/240V",BR,4.7,Televisores,reales,3999,2599,35,10,2599,(1860 disponíveis),994,https://www.mercadolivre.com.br/smart-tv-samsung-un50au7700gxzd-led-tizen-4k-50-100v240v/p/MLB18464003?pdp_filters=category:MLB1002#searchVariation=MLB18464003&position=20&search_layout=grid&type=prod,06/04/2023 18:02:49,Samsung,UN50AU7700G,UN50AU7700GXZD,100V/240V,50 Hz x 60 Hz,Sim,Não,Tizen,Sim,Sim,1116.8 mm x 59.9 mm x 644.2 mm,11.4 kg,1116.8 nm,250.2 mm,719.1 mm,11.6 kg,2,20 W,Dolby Digital Plus,Sim,Sim,"Alexa, Bixby, Google Assistant","Web browser, Gallery, Netflix, Prime Video, GloboPlay, Samsung TV Plus, YouTube, Apple TV, TELECINE, Disney+, DAZN, HBO Go, Spotify, Deezer",LED,"50 """,4K,Sim,3840 px - 2160 px,16:9,60 Hz,Sim,Sim,3,1,Sim,Sim,Sim,Sim,Não,Não,Sim,"Smart control TM2180A, Baterias, Manual, Manual eletronico, Cabo de alimentação",,,,,,,,,,,,,,,,,,,,
