,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Con USB,Con HDMI,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es curvo,Es portátil,Voltaje,Es 3D,Tipo de pantalla,Peso,Cantidad de núcleos del procesador,Con Wi-Fi,Con Bluetooth,Con ethernet,Capacidad de almacenamiento,Sistema operativo,Cantidad de puertos HDMI,Cantidad de puertos USB,Con apagado automático,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Ancho x Profundidad x Altura,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Apps integradas,Frecuencia,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Con VGA,Brillo,Tiempo de respuesta,Es inflamable,Es kit,Con sistema de montaje VESA incorporado,Ancho x Altura,Ancho con soporte,Profundidad con soporte,Altura con soporte,Con entrada S/PDIF,Con entrada por video componentes,Con entrada de antena RF
33,Pantalla Sony® 65/4k Hdr (xbr65x856f) Nueva En Caja,CR,None,Televisores,₡,,1199000,,,1,None,,https://articulo.mercadolibre.co.cr/MCR-525217813-pantalla-sony-654k-hdr-xbr65x856f-nueva-en-caja-_JM#position=10&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:05,Sony,,XBR-65X856F,,Negro,Sí,Sí,"65 """,4K,Sí,No,No,No,,No,LED,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,
34,Pantalla LG® 70-pulgada 4k (70um7370psa) Nueva En Caja,CR,None,Televisores,₡,,799000,,,3,(3 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525243716-pantalla-lg-70-pulgada-4k-70um7370psa-nueva-en-caja-_JM#position=12&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:12,LG,AI ThinQ,70UM7370PSA,70UM7370PSA,,Sí,Sí,"70 """,4K,Sí,Sí,,,100V/240V,,LED,30.7 kg,4,Sí,Sí,Sí,,webOS,3,2,,3840 px - 2160 px,16:9,,157.8 cm x 9.1 cm x 91.3 cm,2,20 W,DTS Virtual:X,"Baterías,Cable de alimentación,Control remoto",,,Sí,,,,,,,,,,,,,,,
35,Pantalla Tcl® 32s60ai Smart /32pulgada  ,CR,None,Televisores,₡,,175000,,,3,(3 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523943501-pantalla-tcl-32s60ai-smart-32pulgada-_JM#position=13&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:15,TCL,,32S60AI,,,Sí,Sí,"32 """,,,Sí,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Televisor-LG-c2pua 83-4k-hdr-smart-oled-evo,CR,None,Televisores,₡,,1189700,,,10,(10 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524970650-televisor-lg-c2pua-83-4k-hdr-smart-oled-evo-_JM#position=14&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:17,LG,Smart OLED,OLED83C2PUA,OLED83C2PUA,Negro,Sí,Sí,"83 """,4K,Sí,Sí,Sí,Sí,100V/240V,Sí,OLED,,,Sí,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sony - 65 Clase A8h Serie Oled 4k Uhd Smart Android Tv,CR,None,Televisores,₡,,255980,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525022788-sony-65-clase-a8h-serie-oled-4k-uhd-smart-android-tv-_JM#position=16&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:49:23,Sony,Bravia,KD-60X690E,,,Sí,Sí,"60 """,4K,Sí,Sí,,,110V/240V,,LED,19 kg,,Sí,No,Sí,,Linux,3,3,Sí,3840 px - 2160 px,16:9,240 Hz,135.68 cm x 8.6 cm x 78.61 cm,2,20 W,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse","Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,,,,,,,,,,,,,
38,Televisor Samsung 65 Qled  Smart Tv Hdmi Usb,CR,None,Televisores,₡,,146500,,50,49,(49 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523326070-televisor-samsung-65-qled-smart-tv-hdmi-usb-_JM#position=1&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:10,Samsung,QLED,PTV65P50AGSG,"Whats""""App  +1 (619) 4380682",Negro,Sí,Sí,"65 """,4K,Sí,Sí,No,No,,Sí,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Nosamsung Smart Tv 75 Pulgadas ,CR,None,Televisores,₡,,180000,,5,980,(980 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523449525-nosamsung-smart-tv-75-pulgadas-_JM#position=6&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:15,Samsung,Qn75q60tapxpa,Qn75q60tapxpa,,Negro,Sí,No,"75 """,4K,Sí,Sí,No,No,110,No,LED,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Pantalla Smart Tv 65 Pulgadas Samsung (65uq80) 7series Uhd,CR,None,Televisores,₡,,275000,,5,91,(91 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523294616-pantalla-smart-tv-65-pulgadas-samsung-65uq80-7series-uhd-_JM#position=8&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:21,Samsung,P725-Series,55P725,Samsung,Negro,,,"75 """,Full HD,,Sí,,Sí,240,,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Smart Tv Samsung Qe75qn900a 75 Neo Qled 8k Quantum Hdr,CR,None,Televisores,₡,,250000,,5,93,(93 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526329664-smart-tv-samsung-qe75qn900a-75-neo-qled-8k-quantum-hdr-_JM#position=14&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Televisor Sony Bravia Xr A80k 4k Hdr Oled De 65 ,CR,None,Televisores,₡,,305690,,1,98,(98 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525965282-televisor-sony-bravia-xr-a80k-4k-hdr-oled-de-65-_JM#position=19&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:33,Sony,Bravia,KD-60X690E,"OLED  65""",Negro,Sí,Sí,"65 """,4K,Sí,Sí,,,110V/240V,,OLED,19 kg,,Sí,No,Sí,,Linux,3,3,Sí,3840 px - 2160 px,16:9,240 Hz,135.68 cm x 8.6 cm x 78.61 cm,2,20 W,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse","Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,,,,,,,,,,,,,
43,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,CR,None,Televisores,₡,,147859,,5,95,(95 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525588034-tv-samsung-43-pulgadas-au7000-crystal-uhd-4k-smart-tv-_JM#position=24&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:39,Samsung,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,Tv Samsung 43 Pulgadas Au7000 Crystal Uhd 4k Smart Tv,,,Sí,Sí,"75 """,4K,Sí,Sí,,,,,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LG 75 Qned Miniled 99 Series 8k Hdr Smart Nanocell Tv,CR,None,Televisores,₡,,179748,,1,89,(89 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526017262-lg-75-qned-miniled-99-series-8k-hdr-smart-nanocell-tv-_JM#position=26&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:46,LG,75 Qned Miniled 99 Series 8k Hdr Smart Nanocell Tv,75 Qned Miniled 99 Series 8k Hdr Smart Nanocell Tv,75 Qned Miniled 99 Series 8k Hdr Smart Nanocell Tv,Negro,Sí,Sí,"75 """,4K,Sí,Sí,No,No,,Sí,QLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Televisor Sony Bravia Xr A80k 4k Hdr Oled De 65 ,CR,None,Televisores,₡,,305690,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525978376-televisor-sony-bravia-xr-a80k-4k-hdr-oled-de-65-_JM#position=27&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,LG 43 Inch 4k  Hdr Led Uhd Smart,CR,None,Televisores,₡,,290800,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523268701-lg-43-inch-4k-hdr-led-uhd-smart-_JM#position=28&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:50:58,LG,43 Inch 4k Class,Led Smart,,Índigo,,Sí,"75 """,Full HD,Sí,Sí,,Sí,110V/220V,,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Smart Tv De 70,CR,None,Televisores,₡,,180000,,5,248,(248 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524925363-smart-tv-de-70-_JM#position=30&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:51:03,Samsung,TV,Plasma,,Negro,Sí,No,"70 """,,Sí,Sí,No,No,110,No,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sony - 65  Clase Bravia Xr A80j Serie Oled 4k Uhd Smart ,CR,None,Televisores,₡,,181000,,1,999,(999 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524567652-sony-65-clase-bravia-xr-a80j-serie-oled-4k-uhd-smart-_JM#position=31&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:51:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Smart Tv De 75 Pulgadas 4k,CR,None,Televisores,₡,,185003,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525022783-smart-tv-de-75-pulgadas-4k-_JM#position=32&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:51:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Televisor Samsung 60 Crystal Uhd 4k Smart Tv Avtec,CR,None,Televisores,₡,,260000,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526095016-televisor-samsung-60-crystal-uhd-4k-smart-tv-avtec-_JM#position=33&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:51:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,LG 55  Uq7570 Serie 4k Hdr Smart Tv Led,CR,None,Televisores,₡,,138121,,1,98,(98 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526173048-lg-55-uq7570-serie-4k-hdr-smart-tv-led-_JM#position=35&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:51:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Smart Tv 65 Inch Skyworth 4k Uhd Android Tv Frameless,CR,None,Televisores,₡,,125000,,1,999,(999 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524528628-smart-tv-65-inch-skyworth-4k-uhd-android-tv-frameless-_JM#position=36&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:51:34,Skyworth,Premium,65SUC9500,LNV-65G3AF-TDF,Negro,Sí,Sí,"65 """,4K UHD,Sí,Sí,No,No,,,Frameless Flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tcl 75 Clase 6-series Mini Led Qled 8k Uhd Smart Roku Tv,CR,None,Televisores,₡,,480000,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525055103-tcl-75-clase-6-series-mini-led-qled-8k-uhd-smart-roku-tv-_JM#position=38&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c569,22/03/2023 08:51:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Tcl 65 Clase 6-series Mini-led Qled 8k Uhd Smart Roku Tv ,CR,None,Televisores,₡,,400000,,1,99,(99 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524886026-tcl-65-clase-6-series-mini-led-qled-8k-uhd-smart-roku-tv-_JM#position=39&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c569,22/03/2023 08:51:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Samsung 43 Tu7000 Titan Gray Crystal Uhd 4k Smart Hdtv ,CR,None,Televisores,U$S,,180,,1,15,(15 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525393007-samsung-43-tu7000-titan-gray-crystal-uhd-4k-smart-hdtv-_JM#position=40&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:51:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sony - 65 Clase A8h Serie Oled 4k Uhd Smart Android Tv,CR,None,Televisores,₡,,298000,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523268700-sony-65-clase-a8h-serie-oled-4k-uhd-smart-android-tv-_JM#position=42&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:51:58,Sony,,PTV86P50AGSG,,Lavanda,,,"85 """,SDTV,,Sí,,Sí,240,,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Samsung Class Qled Q70a Series - Smart Tv De 85,CR,None,Televisores,U$S,,500,,1,98,(98 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523306726-samsung-class-qled-q70a-series-smart-tv-de-85-_JM#position=45&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:52:03,Samsung,Q70A Series,QN85Q70AAFXZA,QN85Q70AAFXZA,Negro,Sí,Sí,"85 """,4K,Sí,Sí,No,No,100V/240V,Sí,"Whats""""App +13306198559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Televisor Tcl Smart Tv 55 / 55p615i / 4k Ultra Hd,CR,None,Televisores,₡,,150987,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525100565-televisor-tcl-smart-tv-55-55p615i-4k-ultra-hd-_JM#position=50&search_layout=stack&type=item&tracking_id=7230f638-30bf-49a8-af67-06cb1b3c5690,22/03/2023 08:52:09,TCL,S61-Series,32S615,,,Sí,Sí,"32 """,HD,Sí,Sí,,,100V/240V,,LED,3.7 kg,4,Sí,Sí,Sí,8 GB,Android Pie,2,1,Sí,1366 px - 768 px,16:9,,,2,20 W,"Dolby Audio,Dolby Digital Plus",Control remoto RC802N4,"Google Play Movies & TV,Google Play Store,HbbTV,Netflix,Web browser,YouTube",50 Hz x 60 Hz,Sí,Sí,,,,,,,Sí,721 mm x 430 mm,721 mm,180 mm,473 mm,Sí,Sí,Sí
59,Televisor Sony Led Smart Tv 85''/4k Uhd / Xbr-85x805h,CR,None,Televisores,₡,,179748,,5,95,(95 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526121694-televisor-sony-led-smart-tv-854k-uhd-xbr-85x805h-_JM#position=3&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:52:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hisense 65-inch Class R6 Series Dolby Vision Hdr 4k Uhd Roku,CR,None,Televisores,₡,,195404,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525217963-hisense-65-inch-class-r6-series-dolby-vision-hdr-4k-uhd-roku-_JM#position=5&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b6,22/03/2023 08:52:22,Hisense,M5000 Series,HLE5017RTU,,,Sí,Sí,"50 """,4K,Sí,Sí,,,100V/240V,,ULED,14.2 kg,,Sí,Sí,Sí,,,4,4,Sí,3840 px - 2160 px,16:9,,111.5 cm x 25.5 cm x 68.9 cm,2,10 W,,"Baterías,Cable de alimentación,Control remoto","Netflix,Web browser,YouTube",,,,,No,460 cd/m²,9.5 ms,,,,,,,,,,
61,Samsung Un65ks9800 Curved 65-inch 4k Super Ultra Hd Smart,CR,None,Televisores,₡,,154302,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526368588-samsung-un65ks9800-curved-65-inch-4k-super-ultra-hd-smart-_JM#position=7&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4,22/03/2023 08:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pantalla LG® 70-pulgada 4k (70um7370psa) Nueva En Caja,CR,None,Televisores,₡,,699000,,,3,(3 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525159325-pantalla-lg-70-pulgada-4k-70um7370psa-nueva-en-caja-_JM#position=8&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:52:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pantalla Sony® 55/4k Modelo (xbr-55x805g) Nueva En Caja,CR,None,Televisores,₡,,695000,,1,1,None,,https://articulo.mercadolibre.co.cr/MCR-524970616-pantalla-sony-554k-modelo-xbr-55x805g-nueva-en-caja-_JM#position=9&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:52:41,Sony,,XBR-55X805G,,Negro,Sí,Sí,"55 """,4K,Sí,Sí,,,110V/240V,,LED,16.1 kg,,Sí,Sí,Sí,16 GB,Android TV,4,3,Sí,3840 px - 2160 px,,,124.1 cm x 7.9 cm x 72.1 cm,2,20 W,"Dolby Digital,Dolby Digital Plus,Dolby Pulse","Baterías,Cable de alimentación,Control remoto",,50 Hz x 60 Hz,Sí,Sí,,,,,,,,,,,,,,
64,Pantalla Tcl® 55-pulgada 4k Modelo (55p65usi) Nueva En Caja,CR,None,Televisores,₡,,395000,,,3,(3 disponibles),,https://articulo.mercadolibre.co.cr/MCR-525179668-pantalla-tcl-55-pulgada-4k-modelo-55p65usi-nueva-en-caja-_JM#position=11&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4,22/03/2023 08:52:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Smart Tv Philips 7000 Series 55pud7406/77 Led 4k 55  110v/24,CR,None,Televisores,₡,,68584,,,1000,(1000 disponibles),,https://articulo.mercadolibre.co.cr/MCR-524587054-smart-tv-philips-7000-series-55pud740677-led-4k-55-110v24-_JM#position=15&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a,22/03/2023 08:52:54,Philips,7000 Series,55PUD7406,,Negro,Sí,Sí,"55 """,4K,Sí,Sí,No,No,110V/220V,,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Vizio 4k Oled 55 Smart Tv | Oled55-h1,CR,None,Televisores,₡,,184729,,1,96,(96 disponibles),,https://articulo.mercadolibre.co.cr/MCR-526342190-vizio-4k-oled-55-smart-tv-oled55-h1-_JM#position=17&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:53:00,Vizio,4k Oled 55 Smart Tv | Oled55-h1,4k Oled 55 Smart Tv | Oled55-h1,4k Oled 55 Smart Tv | Oled55-h1,Negro,Sí,Sí,"55 """,4K,Sí,Sí,No,No,,Sí,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Hisense Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,CR,None,Televisores,₡,,123441,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-527200124-hisense-uled-premium-75-inch-u7g-quantum-dot-qled-series-tv-_JM#position=18&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b6,22/03/2023 08:53:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Pantalla LG/4k  55 Pul Modelo (55um7300) Nueva En Caja,CR,None,Televisores,₡,,535000,,,1,None,,https://articulo.mercadolibre.co.cr/MCR-527083198-pantalla-lg4k-55-pul-modelo-55um7300-nueva-en-caja-_JM#position=19&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:53:13,LG,AI ThinQ,55UM7300,55UM7300AUE,,Sí,Sí,"55 """,4K,Sí,Sí,,Sí,,,LED,30.9 lb,4,Sí,Sí,Sí,,webOS,3,2,,3840 px - 2160 px,,,"49 "" x 3.4 "" x 28.6 """,2,20 W,DTS Decoder,"Baterías,Cable de alimentación,Control remoto",Apple TV,,Sí,Sí,,,,,,,,,,,,,,
69,Sony Televisor Led 40 Smart Full Hd,CR,None,Televisores,₡,,162500,,,100,(100 disponibles),,https://articulo.mercadolibre.co.cr/MCR-523288180-sony-televisor-led-40-smart-full-hd-_JM#position=20&search_layout=stack&type=item&tracking_id=8f22b4b3-feb4-4adc-82d1-8cfdf5b69a4d,22/03/2023 08:53:19,s0ny,Led 40,Smart Full Hd,,,,,"85 """,4K,,Sí,,Sí,100V/240V,,DLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
