,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Frecuencia,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Con función screen share,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Resolución máxima,Relación de aspecto,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Con entrada S/PDIF,Con entrada de antena RF,Países con control mágico incluido,Ángulo de visión horizontal,Ángulo de visión vertical,Con VGA,Cantidad de núcleos del procesador,Frecuencia de actualización de la pantalla,Capacidad de almacenamiento,Con entrada por video compuesto,Relación de contraste,Brillo,Tiempo de respuesta,Con entrada por video componentes
25,"Smart TV Samsung Series 4 UN32T4300AGXZS LED HD 32"" 100V/240V",EC,None,Televisores,U$S,,245,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-4-un32t4300agxzs-led-hd-32-100v240v/p/MEC16268691?pdp_filters=category:MEC1002#searchVariation=MEC16268691&position=6&search_layout=stack&type=p,22/03/2023 09:45:54,Samsung,Series 4,UN32T4300A,UN32T4300AGXZS,,100V/240V,Sí,Sí,LED,"32 """,HD,Sí,Sí,,,,,Tizen,Sí,,,737.4 mm x 74.1 mm x 438 mm,4 kg,"Baterías, Cable de alimentación, Control remoto TM1240A",Sí,,,"Web browser, YouTube",1366 px - 768 px,16:9,2,1,Sí,,Sí,2,10 W,Dolby Audio,737.4 mm,150.5 mm,465.4 mm,4.1 kg,Sí,Sí,,,,,,,,Sí,,,,Sí
26,"Smart TV LG AI ThinQ OLED55B9PSB 4K 55"" 100V/240V",EC,5.0,Televisores,U$S,,1269,,100,1,None,1,https://www.mercadolibre.com.ec/smart-tv-lg-ai-thinq-oled55b9psb-4k-55-100v240v/p/MEC15191479?pdp_filters=category:MEC1002#searchVariation=MEC15191479&position=7&search_layout=stack&type=product&track,22/03/2023 09:46:01,LG,AI ThinQ,OLED55B9,OLED55B9PSB,,100V/240V,Sí,Sí,OLED,"55 """,4K,Sí,Sí,,,,,webOS,Sí,Sí,,122.8 cm x 4.7 cm x 70.6 cm,18.9 kg,"Control remoto, Baterías, Cable de alimentación",Sí,Sí,ThinQ AI,"Netflix, Web browser, YouTube",3840 px - 2160 px,16:9,4,3,Sí,Sí,Sí,4,40 W,"Dolby Atmos, Dolby Surround",,,,,,,"Brasil, México, Chile",,,,5,,,,,,1 ms,
27,"Smart TV Samsung Series 7 UN43AU7000GCZB LED 4K 43"" 220V - 240V",EC,None,Televisores,U$S,,399,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-7-un43au7000gczb-led-4k-43-220v-240v/p/MEC18556468?pdp_filters=category:MEC1002#searchVariation=MEC18556468&position=2&search_layout=stack&type=,22/03/2023 09:46:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Smart TV LG AI ThinQ 65UP7750PSB LED 4K 65"" 100V/240V",EC,None,Televisores,U$S,,799,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-lg-ai-thinq-65up7750psb-led-4k-65-100v240v/p/MEC18453147?pdp_filters=category:MEC1002#searchVariation=MEC18453147&position=3&search_layout=stack&type=product&t,22/03/2023 09:46:13,LG,AI ThinQ,65UP7750,65UP7750PSB,,100V/240V,Sí,Sí,LED,"65 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,webOS 6.0,,,Sí,1454 mm x 57.5 mm x 838 mm,21.38 kg,"Control remoto, Cable de alimentación, Tornillos, Baterías, Manual",Sí,Sí,"ThinQ AI, Google Assistant, Alexa","Netflix, Disney+, Apple TV, Prime Video, Music Player, LG Content Store, Web browser, LG ThinQ",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital, Ultra Surround, AI Sound",1454 mm,269 mm,906 mm,21.72 kg,Sí,Sí,Brasil,,,,4,60 Hz,,,,,,
29,"Smart TV Samsung Series 4 UN32T4300AGXZS LED HD 32"" 100V/240V",EC,None,Televisores,U$S,,245,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-4-un32t4300agxzs-led-hd-32-100v240v/p/MEC16268691?pdp_filters=category:MEC1002#searchVariation=MEC16268691&position=6&search_layout=stack&type=p,22/03/2023 09:46:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=SF5WtGHPkieFewjzFTZtCd95oxOblQcoQ7XsZwaZU7VcrG38swbPiGK32h%2BSIO34fqBrKcXvluwo29uW2NZVKkb8yw0UIhrMryqJVPXnqVqsUiOZpPX6h9e%2FHWJYjb,22/03/2023 09:46:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Smart TV Samsung Series 7 UN43AU7000GCZB LED 4K 43"" 220V - 240V",EC,None,Televisores,U$S,,399,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-7-un43au7000gczb-led-4k-43-220v-240v/p/MEC18556468?pdp_filters=category:MEC1002#searchVariation=MEC18556468&position=2&search_layout=stack&type=,22/03/2023 09:46:33,Samsung,Series 7,UN43AU7000G,UN43AU7000GCZB,,220V - 240V,Sí,Sí,LED,"43 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,Tizen,Sí,Sí,Sí,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,"Smart control TM2140A, Manual, Manual electrónico, Cable de alimentación, Adaptador AV, Baterías",Sí,,,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube",3840 px - 2160 px,16:9,3,1,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony",963.9 mm,192.5 mm,627.8 mm,8.3 kg,Sí,Sí,,,,,,,,,,,,
32,"Smart TV Samsung Series 8 UN60AU8000GXZS LED 4K 60"" 100V/240V",EC,None,Televisores,U$S,,782,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-8-un60au8000gxzs-led-4k-60-100v240v/p/MEC18476766?pdp_filters=category:MEC1002#searchVariation=MEC18476766&position=4&search_layout=stack&type=p,22/03/2023 09:46:40,Samsung,Series 8,UN60AU8000G,UN60AU8000GXZS,,100V/240V,Sí,Sí,LED,"60 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,Tizen,Sí,Sí,Sí,1353 mm x 25.7 mm x 776.8 mm,18.6 kg,"Smart control TM2180A, Baterías, Manual, Manual electrónico, Cable de alimentación",Sí,Sí,Bixby,"Web browser, Gallery, Netflix, Prime Video",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony",,,,,,,,,,,,,,,,,,
33,"Smart TV Samsung Series 8 UN50AU8000FXZX LED 4K 50"" 110V - 127V",EC,None,Televisores,U$S,,549,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-8-un50au8000fxzx-led-4k-50-110v-127v/p/MEC18445083?pdp_filters=category:MEC1002#searchVariation=MEC18445083&position=5&search_layout=stack&type=,22/03/2023 09:46:45,Samsung,Series 8,UN50AU8000F,UN50AU8000FXZX,,110V - 127V,Sí,Sí,LED,"50 """,4K,Sí,Sí,,,,50 Hz x 60 Hz,Tizen,Sí,Sí,Sí,1118.3 mm x 25.7 mm x 644.5 mm,11.5 kg,"Smart control TM2180A, Baterías, Manual, Manual electrónico, Cable de alimentación",Sí,Sí,Bixby,"Web browser, Gallery, Netflix, Prime Video, Samsung TV Plus, Hulu, Apple TV, HBO Max, YouTube, Vudu, YouTube TV, ESPN, Samsung Health, Disney+",3840 px - 2160 px,16:9,3,2,Sí,Sí,Sí,2,20 W,"Dolby Digital Plus, Q-Symphony, Object Tracking Sound",1118.3 mm,226.6 mm,684.6 mm,12.2 kg,Sí,Sí,,,,,,,,No,,,,No
34,"Smart TV Samsung Series 4 UN32T4300AGXZS LED HD 32"" 100V/240V",EC,None,Televisores,U$S,,245,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-4-un32t4300agxzs-led-hd-32-100v240v/p/MEC16268691?pdp_filters=category:MEC1002#searchVariation=MEC16268691&position=6&search_layout=stack&type=p,22/03/2023 09:46:52,Samsung,Series 4,UN32T4300A,UN32T4300AGXZS,,100V/240V,Sí,Sí,LED,"32 """,HD,Sí,Sí,,,,,Tizen,Sí,,,737.4 mm x 74.1 mm x 438 mm,4 kg,"Baterías, Cable de alimentación, Control remoto TM1240A",Sí,,,"Web browser, YouTube",1366 px - 768 px,16:9,2,1,Sí,,Sí,2,10 W,Dolby Audio,737.4 mm,150.5 mm,465.4 mm,4.1 kg,Sí,Sí,,,,,,,,Sí,,,,Sí
35,"Smart TV LG AI ThinQ OLED55B9PSB 4K 55"" 100V/240V",EC,None,Televisores,U$S,,1269,,100,1,None,,https://www.mercadolibre.com.ec/smart-tv-lg-ai-thinq-oled55b9psb-4k-55-100v240v/p/MEC15191479?pdp_filters=category:MEC1002#searchVariation=MEC15191479&position=7&search_layout=stack&type=product&track,22/03/2023 09:46:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=SF5WtGHPkieFewjzFTZtCd95oxOblQcoQ7XsZwaZU7VcrG38swbPiGK32h%2BSIO34fqBrKcXvluwo29uW2NZVKkb8yw0UIhrMryqJVPXnqVqsUiOZpPX6h9e%2FHWJYjb,22/03/2023 09:47:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=7GJ5M9xEUlwbeI5jr1I98fmGEcmYUrQsxeQVrkVYK8HKfKy8pzRMJN6FnUfB4qRVgr%2FWnhk4SRv9PZpN4a2usg7krmDIfuAfvMrqLmoevPgejaqFrbjIHiKr1rqvi7D0,22/03/2023 09:47:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Smart TV Samsung Series 4 UN32T4300AFXZX LED HD 32"" 110V - 127V",EC,None,Televisores,U$S,,245,,50,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-4-un32t4300afxzx-led-hd-32-110v-127v/p/MEC15796066?pdp_filters=category:MEC1002#searchVariation=MEC15796066&position=10&search_layout=stack&type,22/03/2023 09:47:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=DMkeHEhwGENKoz0tdDGxd4FuC5BAwq783jLPhx%2BZEPl0EJSJ5nST7YO02aJHAiOLUvfH2AGDmgQdWPmXPIoydG%2BAO6mNHdr6rtVrbue%2BJt3uZR71s3hUkgUAkCOG,22/03/2023 09:47:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=XlzbWe9S%2Fi8pT5TUIrFeOTRT0td8IoLbsQQwiFC8dOiPG40ecnIsXk%2F09pFj3BfrrvVDdl6qxr2kgmEjWYaOozpf3t%2FK4g26q5SzgIzSKZfW693xHGEntlOxc77%,22/03/2023 09:47:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Televisor Tcl 50 Pulgadas Qled C635 4k Uhd 2023 + Regalos,EC,None,Televisores,U$S,,529,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-529139927-televisor-tcl-50-pulgadas-qled-c635-4k-uhd-2023-regalos-_JM#position=32&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e,22/03/2023 09:47:37,TCL,C6-Series,50C635,50C635,Negro,110V,Sí,Sí,QLED,"50 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Televisor Tcl 50 Android 9.0 2021 Modelo P615,EC,None,Televisores,U$S,,550,,50,1,None,,https://www.mercadolibre.com.ec/televisor-tcl-50-android-90-2021-modelo-p615/p/MEC21343840?pdp_filters=category:MEC1002#searchVariation=MEC21343840&position=13&search_layout=stack&type=product&trackin,22/03/2023 09:47:43,TCL,,50P615,,Negro,,Sí,Sí,,"50 """,,Sí,Sí,No,No,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,
43,Televisor Tcl 55 Pulgadas Modelo P635 4k Uhd + Regalos ,EC,None,Televisores,U$S,,529,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-529139912-televisor-tcl-55-pulgadas-modelo-p635-4k-uhd-regalos-_JM#position=33&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:47:48,TCL,P-Series,55P635,55P635,Negro,110V,Sí,Sí,LED,"55 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Smart TV Samsung Series 5 UN43T5300AGXZD LED Full HD 43"" 100V/240V",EC,None,Televisores,U$S,,229,,5,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-series-5-un43t5300agxzd-led-full-hd-43-100v240v/p/MEC15796379?pdp_filters=category:MEC1002#searchVariation=MEC15796379&position=14&search_layout=stack&,22/03/2023 09:47:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Televisor Tcl 55 Pulgadas Qled Mini Led C825 4k Uhd + Regalo,EC,None,Televisores,U$S,,1139,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-529094499-televisor-tcl-55-pulgadas-qled-mini-led-c825-4k-uhd-regalo-_JM#position=34&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd,22/03/2023 09:48:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Televisor LG 65up7700 65 Pulgadas 4k Uhd + Regalos ,EC,None,Televisores,U$S,,799,,25,1,None,,https://articulo.mercadolibre.com.ec/MEC-529165838-televisor-lg-65up7700-65-pulgadas-4k-uhd-regalos-_JM#position=36&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:48:08,LG,AI ThinQ,65up7700,65up7700,Negro,110V,Sí,Sí,LED,"65 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Smart Tv LG 55uq7950 Uhd 4k Thinq Ai 55  ,EC,None,Televisores,U$S,,599,,25,1,None,,https://articulo.mercadolibre.com.ec/MEC-528743885-smart-tv-lg-55uq7950-uhd-4k-thinq-ai-55-_JM#position=37&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:48:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=7GXTr7NnXdesCpUi%2FPXOtHOLbXRLyH7J7mOO%2FTyVJpXGA5T%2FX4HEzj37BqusVt4yZzvl6eTZJSmYY%2BWFsyir7v0VUrUGOn41jGwBfUO9JqDVNsoDxv3MiQTesn,22/03/2023 09:48:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,None,EC,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.ec/mclics/clicks/external/MEC/count?a=QBqFTSlA9cNeM2eaIpRhOUms9SWzZ3j4gNjwWtwVy3L9TcElUP5PfoPx8eeVX3kMJVcEWBdWZPHTgv1xYXqKdxnBvCI3ok4akiQf%2BrijXotbtj3ssTP8Wmz3jcCVaJEs,22/03/2023 09:48:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Televisor Xiaomi 65 Pulgadas Android Tv 4k Uhd + Regalos ,EC,None,Televisores,U$S,,699,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-529127508-televisor-xiaomi-65-pulgadas-android-tv-4k-uhd-regalos-_JM#position=38&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:48:35,Xiaomi,LED,L65M7,L65M7,Negro,110V,Sí,Sí,LED,"65 """,4K,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Televisor LG 43uq7500 4k 43 Pulgadas Modelo 2022 + Regalos,EC,None,Televisores,U$S,,449,,100,1,None,,https://articulo.mercadolibre.com.ec/MEC-529152796-televisor-lg-43uq7500-4k-43-pulgadas-modelo-2022-regalos-_JM#position=40&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17,22/03/2023 09:48:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Smart Tv Rca Kdl32m0672ln Linux Hd 32  ,EC,None,Televisores,U$S,,175,,50,1,None,,https://articulo.mercadolibre.com.ec/MEC-528691038-smart-tv-rca-kdl32m0672ln-linux-hd-32-_JM#position=43&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:48:48,RCA,Linux,KDL32M0672LN,,Negro,110V/220V,Sí,Sí,LED,"32 """,HD,,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Smart TV Samsung Neo QLED 4K QN65QN85AAGXZD QLED 4K 65"" 100V/240V",EC,None,Televisores,U$S,,2349,,1,1,None,,https://www.mercadolibre.com.ec/smart-tv-samsung-neo-qled-4k-qn65qn85aagxzd-qled-4k-65-100v240v/p/MEC18517644?pdp_filters=category:MEC1002#searchVariation=MEC18517644&position=21&search_layout=stack&t,22/03/2023 09:48:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Smart Tv Riviera And40chg6f Led Full Hd 40  ,EC,None,Televisores,U$S,,309,,25,1,None,,https://articulo.mercadolibre.com.ec/MEC-528678065-smart-tv-riviera-and40chg6f-led-full-hd-40-_JM#position=48&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:49:01,Riviera,AND40CHG6F,AND40CHG6F,,Negro,100V - 120V,Sí,Sí,LED,"40 """,Full HD,,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Smart Tv Samsung Series 4 Un32t4300agxzs Led Hd 32  ,EC,None,Televisores,U$S,,245,,25,1,None,,https://articulo.mercadolibre.com.ec/MEC-528646180-smart-tv-samsung-series-4-un32t4300agxzs-led-hd-32-_JM#position=50&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:49:07,Samsung,Series 4,UN32T4300A,UN32T4300AGXZS,,100V/240V,Sí,Sí,LED,"32 """,HD,Sí,Sí,,,,,Tizen,Sí,,,737.4 mm x 74.1 mm x 438 mm,4 kg,"Baterías,Cable de alimentación,Control remoto TM1240A",Sí,,,"Web browser,YouTube",1366 px - 768 px,16:9,2,1,Sí,,Sí,2,10 W,Dolby Audio,737.4 mm,150.5 mm,465.4 mm,4.1 kg,Sí,Sí,,,,,,,,Sí,,,,Sí
56,Tvs LG 60uq 8050 Año 2022  1año De Garantía + Soporte,EC,None,Televisores,U$S,,750,,5,1,None,,https://articulo.mercadolibre.com.ec/MEC-518499166-tvs-lg-60uq-8050-ano-2022-1ano-de-garantia-soporte-_JM#position=51&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:49:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Smart Tv Rca Led43rca680ln Full Hd 43  ,EC,None,Televisores,U$S,,299,,5,1,None,,https://articulo.mercadolibre.com.ec/MEC-528652820-smart-tv-rca-led43rca680ln-full-hd-43-_JM#position=52&search_layout=stack&type=item&tracking_id=a2289fa2-ba47-44fe-897b-30c4e4bd17e2,22/03/2023 09:49:20,RCA,LED43RCA680LN,LED43RCA680LN,,Negro,110V/240V,Sí,Sí,LED,"43 """,Full HD,,Sí,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
