,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Con USB,Con HDMI,Con Wi-Fi,Cantidad de núcleos del procesador,Capacidad de almacenamiento,Sistema operativo,Con apagado automático,Ancho x Profundidad x Altura,Cantidad de parlantes,Potencia máxima de los parlantes,Accesorios incluidos,Apps integradas,Cantidad de puertos HDMI,Cantidad de puertos USB,Con ethernet,Con VGA,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Modos de sonido,Relación de contraste,Brillo,Tiempo de respuesta,Con Bluetooth,Con entrada S/PDIF,Con entrada por video componentes,Con entrada por video compuesto,Con entrada de antena RF,Con comando de voz integrado,Asistentes virtuales integrados,Frecuencia,Con sistema de montaje VESA incorporado,Con función screen share,Frecuencia de actualización de la pantalla,Países con control mágico incluido,Con cables ocultos
18,"Smart TV JVC LT-65N885U DLED 4K 65"" 110V/220V",UY,4.6,Televisores,U$S,990,647,34,100,866,(866 disponibles),45,https://www.mercadolibre.com.uy/smart-tv-jvc-lt-65n885u-dled-4k-65-110v220v/p/MLU17378504?pdp_filters=category:MLU1002#searchVariation=MLU17378504&position=43&search_layout=grid&type=product&tracking_,22/03/2023 13:00:32,JVC,,LT-65N885U,,,110V/220V,Sí,,,,DLED,"65 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,,Android Nougat,,146.2 cm x 9.4 cm x 84.5 cm,2,16 W,,,3,2,Sí,Sí,,,,,,,5000:1,400 cd/m²,8 ms,,,,,,,,,Sí,Sí,,,
19,"Smart TV Samsung Series 4 UN32T4310AGXUG LED HD 32"" 100V/240V",UY,4.7,Televisores,U$S,357,267,25,100,709,(709 disponibles),92,https://www.mercadolibre.com.uy/smart-tv-samsung-series-4-un32t4310agxug-led-hd-32-100v240v/p/MLU18470470?pdp_filters=category:MLU1002#searchVariation=MLU18470470&position=44&search_layout=grid&type=p,22/03/2023 13:00:36,Samsung,Series 4,UN32T4310AG,UN32T4310AGXUG,,100V/240V,Sí,,,,LED,"32 """,HD,Sí,1366 px - 768 px,,,16:9,Sí,Sí,Sí,,,Tizen,Sí,737.4 mm x 74.1 mm x 438 mm,2,10 W,"Manual, Manual electrónico, Cable de alimentación, Control remoto TM1240A, Baterías","Web browser, Gallery",2,1,Sí,,4 kg,,,,,Dolby Digital Plus,,,,,,,,,,,50 Hz x 60 Hz,Sí,Sí,,,
20,"Smart TV Microsonic LEDDGSM32J1 HD 32"" 100V/240V",UY,4.7,Televisores,U$S,,172,,100,1000,(1000 disponibles),27,https://www.mercadolibre.com.uy/smart-tv-microsonic-leddgsm32j1-hd-32-100v240v/p/MLU17076530?pdp_filters=category:MLU1002#searchVariation=MLU17076530&position=47&search_layout=grid&type=product&tracki,22/03/2023 13:00:46,Microsonic,,LEDDGSM32J1,,,100V/240V,Sí,,,,LED,"32 """,HD,,1366 px - 768 px,,,16:9,Sí,Sí,Sí,,,Android TV,Sí,73.1 cm x 20.9 cm x 47.4 cm,2,16 W,"Control remoto, Cable de alimentación",,3,2,,,3.72 kg,,,,,,,,,,,,,,,,,,,,,
21,Smart Tv Greenwind 40  Fhd,UY,4.8,Televisores,U$S,374,269,28,100,193,(193 disponibles),14,https://www.mercadolibre.com.uy/smart-tv-greenwind-40-fhd/p/MLU22023226?pdp_filters=category:MLU1002#searchVariation=MLU22023226&position=48&search_layout=grid&type=product&tracking_id=0b375091-8b04-4,22/03/2023 13:00:50,Greenwind,Smart TV,GW40FHD,,Negro,220V,Sí,No,No,Sí,DLED,"40 """,Full HD,Sí,1920 x 1080 PX,178°,178°,16:9,Sí,Sí,Sí,2,1 GB,Linux,Sí,90.4 cm x 8.5 cm x 51.6 cm,2,8 W,"Baterías, Patas de apoyo, Control remoto, Manual","Netflix, Prime Video, YouTube",2,2,Sí,No,5.8 kg,90.4 cm,21.2 cm,56.8 cm,5.9 kg,Dolby Digital,5000:1,240 cd/m²,8.5 ms,Sí,Sí,,,Sí,No,,50/60Hz,,Sí,60 Hz,,No
22,"TV Punktal PK-TD236D LED HD 24"" 100V/240V",UY,4.6,Televisores,U$S,,126,,500,4,(4 disponibles),111,https://www.mercadolibre.com.uy/tv-punktal-pk-td236d-led-hd-24-100v240v/p/MLU16266377?pdp_filters=category:MLU1002#searchVariation=MLU16266377&position=49&search_layout=grid&type=product&tracking_id=0,22/03/2023 13:00:54,Punktal,,PK-TD236D,,,100V/240V,,,,,LED,"24 """,HD,,1366 px - 768 px,,,16:9,Sí,Sí,,,,,,552 mm x 151 mm x 366 mm,,,Control remoto,,2,2,,Sí,,,,,,Stereo,,,,,,,,,,,,,No,,,
23,"Smart TV Xion XI-LED32SLIM HD 32"" 220V",UY,None,Televisores,U$S,,166,40,1000,45,(45 disponibles),,https://www.mercadolibre.com.uy/smart-tv-xion-xi-led32slim-hd-32-220v/p/MLU18918008?pdp_filters=category:MLU1002#searchVariation=MLU18918008&position=1&search_layout=grid&type=product&tracking_id=0b37,22/03/2023 13:02:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Smart TV Samsung Series 7 UN50AU7000GCZB LED 4K 50"" 220V - 240V",UY,None,Televisores,U$S,799,599,25,1000,330,(330 disponibles),,https://www.mercadolibre.com.uy/smart-tv-samsung-series-7-un50au7000gczb-led-4k-50-220v-240v/p/MLU18556467?pdp_filters=category:MLU1002#searchVariation=MLU18556467&position=2&search_layout=grid&type=p,22/03/2023 13:03:00,Samsung,Series 7,UN50AU7000G,UN50AU7000GCZB,,220V - 240V,Sí,,,,LED,"50 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,,Tizen,Sí,1116.8 mm x 59.9 mm x 644.2 mm,2,20 W,"Smart control TM2140A, Baterías, Manual, Cable de alimentación, Adaptador AV, Manual electrónico","Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube",3,1,Sí,,11.4 kg,1116.8 mm,250.2 mm,719.1 mm,11.6 kg,"Dolby Digital Plus, Q-Symphony",,,,Sí,Sí,,,Sí,,,50 Hz x 60 Hz,Sí,Sí,,,Sí
25,"Smart TV Samsung Series 5 UN43T5300AGXZD LED Full HD 43"" 100V/240V",UY,None,Televisores,U$S,529,399,24,500,19,(19 disponibles),,https://www.mercadolibre.com.uy/smart-tv-samsung-series-5-un43t5300agxzd-led-full-hd-43-100v240v/p/MLU15796379?pdp_filters=category:MLU1002#searchVariation=MLU15796379&position=6&search_layout=grid&ty,22/03/2023 13:03:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Smart TV Samsung Series 7 UN55AU7000GXUG LED 4K 55"" 100V/240V",UY,4.9,Televisores,U$S,899,749,16,100,356,(356 disponibles),40,https://www.mercadolibre.com.uy/smart-tv-samsung-series-7-un55au7000gxug-led-4k-55-100v240v/p/MLU18437318?pdp_filters=category:MLU1002#searchVariation=MLU18437318&position=7&search_layout=grid&type=pr,22/03/2023 13:03:14,Samsung,Series 7,UN55AU7000G,UN55AU7000GXUG,,100V/240V,Sí,,,,LED,"55 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,,Tizen,Sí,1230.5 mm x 59.9 mm x 707.2 mm,2,20 W,"Smart control TM2140A, Cable de alimentación, Baterías, Manual, Manual electrónico","Gallery, Web browser",3,1,Sí,,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,"Dolby Digital Plus, Q-Symphony",,,,Sí,Sí,,,Sí,,,50 Hz x 60 Hz,Sí,Sí,,,Sí
27,Smart Tv Motorola Android Tv 50 Uhd 4k Hdr + Comando De Voz + Bluetooth,UY,None,Televisores,U$S,656,499,23,100,767,(767 disponibles),,https://www.mercadolibre.com.uy/smart-tv-motorola-android-tv-50-uhd-4k-hdr-comando-de-voz-bluetooth/p/MLU19738326?pdp_filters=category:MLU1002#searchVariation=MLU19738326&position=9&search_layout=grid,22/03/2023 13:03:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Smart Tv Motorola Android Tv 65 Uhd 4k Hdr + Comando De Voz + Bluetooth,UY,4.7,Televisores,U$S,999,769,23,100,785,(785 disponibles),39,https://www.mercadolibre.com.uy/smart-tv-motorola-android-tv-65-uhd-4k-hdr-comando-de-voz-bluetooth/p/MLU19745922?pdp_filters=category:MLU1002#searchVariation=MLU19745922&position=10&search_layout=gri,22/03/2023 13:03:27,Motorola,Smart TV,MOT65ULC13,BCDH-65,Negro,110V/240V,Sí,No,No,No,LCD,"65 """,4K,Sí,3840 px - 2160 px,176°,176°,16:9,Sí,Sí,Sí,4,8 GB,Android TV 11,Sí,144.6 cm x 7.6 cm x 83.5 cm,2,16 W,Control remoto,"Disney+, Netflix, YouTube",3,2,Sí,No,16.5 kg,1112 mm,32.6 cm,88.3 cm,17.1 kg,Dolby Digital,1200:1,330 cd/m²,9.5 ms,Sí,Sí,Sí,Sí,Sí,Sí,Google Assistant,,,,,,
29,None,UY,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=Jwl4aW%2FW6Mku3b%2BkwexDAodG1NXSR5Tql6O%2BBHFkxHRl3id7NQ1B%2BXUsHaoivVLMgKLb1WEoQK9OHxeWxJ0ERdMQFUh83qc5hza%2BAnfbba6bHMVVGxBJRsXc,22/03/2023 13:03:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,None,UY,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=TVpT9%2Fe8uO79oM2HSkwKB3Htr%2Fx%2BcjjjgZ0SPL9ROhTN38uIJuLUGoeBXTySc1wufojmIZ%2BJpQTbO1XB8bOwAWm5BzXDmDM6yfnqSuFfGTNJhyq9yPn6DwJMCX,22/03/2023 13:03:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Smart TV Asano SMART TV 50 Full HD 50"" 100V/240V",UY,4.7,Televisores,U$S,579,329,43,100,812,(812 disponibles),29,https://www.mercadolibre.com.uy/smart-tv-asano-smart-tv-50-full-hd-50-100v240v/p/MLU19159455?pdp_filters=category:MLU1002#searchVariation=MLU19159455&position=13&search_layout=grid&type=product&tracki,22/03/2023 13:03:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Smart TV Xiaomi Mi TV P1 55 4K 55"" 100V/240V",UY,None,Televisores,U$S,,799,5,100,3,(3 disponibles),,https://www.mercadolibre.com.uy/smart-tv-xiaomi-mi-tv-p1-55-4k-55-100v240v/p/MLU18916946?pdp_filters=category:MLU1002#searchVariation=MLU18916946&position=15&search_layout=grid&type=product&tracking_i,22/03/2023 13:03:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Smart TV Xiaomi L43M6-6A LED 4K 43"" 100V/240V",UY,None,Televisores,U$S,559,419,25,100,84,(84 disponibles),,https://www.mercadolibre.com.uy/smart-tv-xiaomi-l43m6-6a-led-4k-43-100v240v/p/MLU19040941?pdp_filters=category:MLU1002#searchVariation=MLU19040941&position=19&search_layout=grid&type=product&tracking_,22/03/2023 13:04:03,Xiaomi,,Mi TV P1 43,L43M6-6A,,100V/240V,Sí,,,,LED,"43 """,4K,Sí,3840 px - 2160 px,178°,178°,16:9,Sí,Sí,Sí,4,16 GB,Android 10,,962 mm x 85 mm x 556 mm,2,20 W,"Control remoto, Tornillos, Manual, Cable de alimentación, Base","Prime Video, Netflix",3,2,Sí,,7.3 kg,962 mm,205 mm,625 mm,7.4 kg,"Dolby Audio, DTS-HD, Standard",,,,Sí,Sí,,Sí,Sí,Sí,Google Assistant,50 Hz x 60 Hz,,Sí,60 Hz,,
34,"Smart TV Xion XI-LED50-4k 4K 50"" 220V",UY,4.4,Televisores,U$S,639,399,37,100,456,(456 disponibles),59,https://www.mercadolibre.com.uy/smart-tv-xion-xi-led50-4k-4k-50-220v/p/MLU16649643?pdp_filters=category:MLU1002#searchVariation=MLU16649643&position=20&search_layout=grid&type=product&tracking_id=0b37,22/03/2023 13:04:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,None,UY,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=heOS%2FcltM0lrYgO7w9ZZCj1v2sBzZYQuLZ37Dyk8Zb0zmTBFPMcfXORwC9%2B7N0JiwWVigHLQp1YBInKao75N%2BBTmgYHvgi3ZcXDbZbdShqX9QyfB2Wg4mkDaSyHN,22/03/2023 13:04:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,None,UY,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=AW6McnojPvHP%2FARIVOZSxumAfkx7RnTJfw3DJ%2B5e6Oo4UAq3%2BHC%2FbGdi7B6I8E6uTgOUVxCpn%2FjEnQgFB2rpLJLUxf4Z2HXM2E9jSkno2nPS3810vqKTGc0e,22/03/2023 13:04:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Smart TV Xion XI-LED43SMART Full HD 43"" 220V",UY,4.5,Televisores,U$S,325,287,11,100,833,(833 disponibles),44,https://www.mercadolibre.com.uy/smart-tv-xion-xi-led43smart-full-hd-43-220v/p/MLU16521869?pdp_filters=category:MLU1002#searchVariation=MLU16521869&position=26&search_layout=grid&type=product&tracking_,22/03/2023 13:04:32,Xion,,XI-LED43SMART,,,220V,Sí,,,,LED,"43 """,Full HD,,1920 px - 1080 px,,,16:9,Sí,Sí,Sí,,,Android TV,,,,,,,3,2,,Sí,,,,,,,,,,,,,,,,,,,,,,
38,"Smart TV LG AI ThinQ 32LM637BPSB LED HD 32"" 100V/240V",UY,None,Televisores,U$S,409,257,37,100,406,(406 disponibles),,https://www.mercadolibre.com.uy/smart-tv-lg-ai-thinq-32lm637bpsb-led-hd-32-100v240v/p/MLU18443882?pdp_filters=category:MLU1002#searchVariation=MLU18443882&position=28&search_layout=grid&type=product&t,22/03/2023 13:04:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Smart TV Xiaomi Mi TV P1 50 LED 4K 50"" 100V/240V",UY,4.7,Televisores,U$S,649,499,23,50,96,(96 disponibles),19,https://www.mercadolibre.com.uy/smart-tv-xiaomi-mi-tv-p1-50-led-4k-50-100v240v/p/MLU18926048?pdp_filters=category:MLU1002#searchVariation=MLU18926048&position=29&search_layout=grid&type=product&tracki,22/03/2023 13:04:44,Xiaomi,,Mi TV P1 50,,,100V/240V,Sí,,,,LED,"50 """,4K,Sí,3840 px - 2160 px,178°,178°,16:9,Sí,Sí,Sí,4,16 GB,Android 10,,1117.2 mm x 83.6 mm x 652.5 mm,2,20 W,"Control remoto, Manual, Cable de alimentación, Base, Tornillos","Netflix, Prime Video, YouTube, Google Play Store, Google Play Movies & TV, PatchWall",3,2,Sí,,9.8 kg,1117.2 mm,276.8 mm,710.6 mm,9.9 kg,"Dolby Audio, DTS-HD, Standard",,,,Sí,Sí,,Sí,Sí,Sí,Google Assistant,50 Hz x 60 Hz,,Sí,60 Hz,,
40,"Smart TV Asano 55DN1 Smart LED 4K 55"" 100V/240V",UY,4.2,Televisores,U$S,719,417,42,100,920,(920 disponibles),18,https://www.mercadolibre.com.uy/smart-tv-asano-55dn1-smart-led-4k-55-100v240v/p/MLU19540365?pdp_filters=category:MLU1002#searchVariation=MLU19540365&position=31&search_layout=grid&type=product&trackin,22/03/2023 13:04:51,Asano,,55DN1 Smart,,,100V/240V,Sí,,No,,LED,"55 """,4K,,3840 px - 2160 px,178°,178°,16:9,Sí,Sí,Sí,4,8 GB,Android Nougat,,,2,14 W,Manual,,3,2,Sí,Sí,,,,,,,1000:1,10 cd/m²,8 ms,,Sí,Sí,Sí,Sí,,,50 Hz x 60 Hz,Sí,,,,
41,None,UY,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=brZ2Y6rb6bImDR3Fr%2B5xDFuBWQQMlU3SmxuBba5qZCWSJe7Ni11rkdOsCSt6TpS7%2FGN5F%2BwaJyz3dNf7vFxkBpwHM2c7HuNRmD%2BDo9r3lPr4QcqVUkiUvcupzq,22/03/2023 13:04:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,None,UY,None,Televisores,None,,,,,1,None,,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=t%2Bb2fc1u24U%2F4LzyV2sDnpzkHphqjLOmJmdOGniQWaQBjLDWwY%2BY6pIcCx%2BADbwyAYNLAibbzcHpIovpWo%2FcISXmrXvaPBn1pMpfY68QYCInj65hW84EhIdD,22/03/2023 13:05:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Smart TV Panavox 50 Android LED 4K 50"" 220V",UY,5.0,Televisores,$,,19590,,100,20,(20 disponibles),26,https://www.mercadolibre.com.uy/smart-tv-panavox-50-android-led-4k-50-220v/p/MLU18638525?pdp_filters=category:MLU1002#searchVariation=MLU18638525&position=37&search_layout=grid&type=product&tracking_i,22/03/2023 13:05:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Smart TV Kiland DKLD55SMART4K 4K 55"" 220V",UY,5.0,Televisores,U$S,,579,,25,1000,(1000 disponibles),3,https://www.mercadolibre.com.uy/smart-tv-kiland-dkld55smart4k-4k-55-220v/p/MLU19969986?pdp_filters=category:MLU1002#searchVariation=MLU19969986&position=38&search_layout=grid&type=product&tracking_id=,22/03/2023 13:05:16,Kiland,,42-SMF,DKLD55SMART4K,,220V,Sí,,No,,,"55 """,4K,,,,,16:9,Sí,Sí,Sí,,,Android TV,,,2,16 W,Controles remotos,,3,2,Sí,,,,,,,,,,,Sí,,,,Sí,,,,,,,,
45,Smart Tv Greenwind 50  Uhd 4k,UY,None,Televisores,U$S,561,380,32,100,40,(40 disponibles),,https://www.mercadolibre.com.uy/smart-tv-greenwind-50-uhd-4k/p/MLU22023225?pdp_filters=category:MLU1002#searchVariation=MLU22023225&position=39&search_layout=grid&type=product&tracking_id=0b375091-8b0,22/03/2023 13:05:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Smart TV Sony KD-55X80K LCD 4K 55"" 110V/240V",UY,4.3,Televisores,U$S,1099,999,9,5,21,(21 disponibles),6,https://www.mercadolibre.com.uy/smart-tv-sony-kd-55x80k-lcd-4k-55-110v240v/p/MLU20961555?pdp_filters=category:MLU1002#searchVariation=MLU20961555&position=42&search_layout=grid&type=product&tracking_i,22/03/2023 13:05:29,Sony,,KD-55X80K,,,110V/240V,Sí,,No,,LCD,"55 """,4K,Sí,3840 px - 2160 px,,,16:9,Sí,Sí,Sí,,16 GB,Android TV,Sí,1233 mm x 72 mm x 713 mm,2,20 W,"Control remoto, Baterías, Cable de alimentación, Manual, Guía de instalación, Soporte para la mesa",Google Play Store,4,2,Sí,,15.9 kg,1233 mm,338 mm,782 mm,16.8 kg,"Bass Reflex Speaker, X-Balanced Speaker, Dolby Audio, Dolby Atmos, DTS Digital Surround",,,,Sí,Sí,No,Sí,Sí,Sí,,50 Hz x 60 Hz,Sí,Sí,60 Hz,,
47,"Smart TV James K1EL LED HD 32"" 220V",UY,4.5,Televisores,U$S,,185,,100,23,(23 disponibles),18,https://www.mercadolibre.com.uy/smart-tv-james-k1el-led-hd-32-220v/p/MLU18719146?pdp_filters=category:MLU1002#searchVariation=MLU18719146&position=45&search_layout=grid&type=product&tracking_id=0b3750,22/03/2023 13:05:36,James,,K1EL,,,220V,Sí,,,,LED,"32 """,HD,,1366 px - 768 px,,,16:9,Sí,Sí,Sí,,,Linux,,732 mm x 75 mm x 434 mm,,,,"Netflix, YouTube, Web browser",3,2,,,,732 mm,204 mm,483 mm,,,,,,,,,,,,,,,,,,
48,"Smart TV Punktal PK-50UDL LED 4K 50"" 110V/240V",UY,None,Televisores,$,,27192,,100,10,(10 disponibles),,https://www.mercadolibre.com.uy/smart-tv-punktal-pk-50udl-led-4k-50-110v240v/p/MLU18620956?pdp_filters=category:MLU1002#searchVariation=MLU18620956&position=46&search_layout=grid&type=product&tracking,22/03/2023 13:05:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Smart TV LG Serie HD 32LM630BPUB LED HD 32"" 120V",UY,4.7,Televisores,U$S,339,259,23,100,854,(854 disponibles),67,https://www.mercadolibre.com.uy/smart-tv-lg-serie-hd-32lm630bpub-led-hd-32-120v/p/MLU15306852?pdp_filters=category:MLU1002#searchVariation=MLU15306852&position=50&search_layout=grid&type=product&track,22/03/2023 13:05:50,LG,Serie HD,32LM630B,32LM630BPUB,,120V,Sí,,,,LED,"32 """,HD,Sí,1366 px - 768 px,,,16:9,Sí,Sí,Sí,4,,webOS,Sí,736 mm x 82.9 mm x 437 mm,2,10 W,"Control remoto, Baterías, Cable de alimentación","YouTube, Netflix, Web browser, LG TV Plus App, LG Content Store",3,2,Sí,,4.65 kg,,,,,"DTS Decoder, Virtual Surround Plus, Clear Voice III, Dolby Digital",,,,Sí,,,,,Sí,ThinQ AI,50 Hz x 60 Hz,,Sí,,,
