,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Sistema operativo,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Con entrada de antena RF,Accesorios incluidos,Frecuencia,Con apagado automático,Con cables ocultos,Con función screen share,Con entrada S/PDIF,Modos de sonido,Capacidad de almacenamiento,Ancho x Altura,Con entrada por video componentes,Con entrada por video compuesto,Ángulo de visión horizontal,Ángulo de visión vertical,Cantidad de núcleos del procesador,Es inflamable,Es kit,Ancho,Países con control mágico incluido,Organismo de certificación (OCP),Con impacto positivo,Ancho x Profundidad
0,Smart Tv Noblex Dk32x7000pi Led Hd 32 Android Tv,AR,4.7,Televisores,pesos,52501,48999,6,5,48999,(12 disponibles),618,https://www.mercadolibre.com.ar/smart-tv-noblex-dk32x7000pi-led-hd-32-android-tv/p/MLA19820351?pdp_filters=category:MLA1002#searchVariation=MLA19820351&position=2&search_layout=stack&type=product&trac,05/04/2023 02:56:55,Noblex,DK,DK32X7000PI,91DK32X7000PI,Negro,220V,Sí,No,No,No,Android,Sí,71.7 cm x 8.6 cm x 42.7 cm,3.7 kg,71.7 cm,16 cm,46.9 cm,5.5 kg,2,12 W,Sí,Google Assistant,"Netflix, YouTube",LED,"32 """,HD,No,1366 px - 768 px,16:9,3000:1,180 cd/m²,6.5 ms,60 Hz,Sí,Sí,2,2,Sí,Sí,Sí,No,Sí,Control remoto,,,,,,,,,,,,,,,,,,,,
1,Smart Tv Noblex Dk43x7100pi Led 43'' Full Hd Con Android Tv,AR,4.7,Televisores,pesos,109999,90999,17,1000,90999,(636 disponibles),155,https://www.mercadolibre.com.ar/smart-tv-noblex-dk43x7100pi-led-43-full-hd-con-android-tv/p/MLA19712050?pdp_filters=category:MLA1002#searchVariation=MLA19712050&position=3&search_layout=stack&type=pro,05/04/2023 02:57:07,Noblex,DK,DK43X7100PI,91DK43X7100PI,Negro,220V,Sí,No,No,No,Android,Sí,95.5 cm x 8.3 cm x 55.8 cm,6.5 kg,95.5 cm,18.2 cm,60.6 cm,,2,14 W,Sí,Google Assistant,YouTube,LED,"43 """,Full HD,No,1920 px - 1080 px,16:9,3000:1,250 cd/m²,8 ms,60 Hz,Sí,Sí,2,2,Sí,No,Sí,No,Sí,,,,,,,,,,,,,,,,,,,,,
2,"Smart TV Samsung Series 7 UN55AU7000GCZB LED Tizen 4K 55"" 220V - 240V",AR,4.8,Televisores,pesos,194999,152099,22,5,152099,(6 disponibles),480,https://www.mercadolibre.com.ar/smart-tv-samsung-series-7-un55au7000gczb-led-tizen-4k-55-220v-240v/p/MLA18718085?pdp_filters=category:MLA1002#searchVariation=MLA18718085&position=4&search_layout=stack,05/04/2023 02:58:18,Samsung,Series 7,UN55AU7000G,UN55AU7000GCZB,,220V - 240V,Sí,,,,Tizen,Sí,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,2,20 W,,,"Web browser, Gallery, Netflix, Prime Video, Apple TV, YouTube TV",LED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,"Manual, Cable de alimentación, Manual electrónico, Adaptador AV, Control remoto TM2140A",50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Dolby Digital Plus, Q-Symphony, Adaptive Sound",,,,,,,,,,,,,,
3,"Smart TV Philips 6900 Series 43PFD6917/77 LED Android 10 Full HD 43"" 110V/240V",AR,4.6,Televisores,pesos,,95999,23,5,95999,(603 disponibles),738,https://www.mercadolibre.com.ar/smart-tv-philips-6900-series-43pfd691777-led-android-10-full-hd-43-110v240v/p/MLA19465098?pdp_filters=category:MLA1002#searchVariation=MLA19465098&position=5&search_lay,05/04/2023 02:58:30,Philips,6900 Series,43PFD6917,43PFD6917/77,,110V/240V,Sí,,No,,Android 10,Sí,958 mm x 82 mm x 568 mm,7.2 kg,958 mm,227 mm,587 mm,7.13 kg,2,16 W,Sí,Google Assistant,"YouTube, Prime Video, Disney+, Google Play Movies & TV, Google Play Music, Netflix, Google Play Store",LED,"43 """,Full HD,Sí,1920 px - 1080 px,16:9,,,,,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Baterías, Cable de alimentación, Soporte para la mesa, Control remoto, Guía de instalación",50 Hz x 60 Hz,Sí,,,Sí,"Dolby Atmos, Surround",8 GB,,,,,,,,,,,,,
4,Smart Tv Noblex Db39x7000pi 39'' Led Hd Android Tv,AR,4.1,Televisores,pesos,89999,62799,30,100,62799,(164 disponibles),8,https://articulo.mercadolibre.com.ar/MLA-1297496855-smart-tv-noblex-db39x7000pi-39-led-hd-android-tv-_JM#position=40&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f423,05/04/2023 02:58:41,Noblex,Series X7,DB39X7000,91DB39X7000PI,Negro,220V,Sí,No,No,No,Android 11,,88.7 cm x 8.1 cm x 51.3 cm,5.6 kg,887 mm,180 cm,930 mm,,2,,,,,LED,"39 """,HD,No,1366 px - 768 px,16:9,3000:1,200 cd/m²,8.5 ms,60 Hz,Sí,Sí,3,2,Sí,No,Sí,No,,,,,,,,,,,,,,,,,,,,,,
5,Smart Tv 4k Led 50 Pulgadas Telefunken F5022uk6 Uhd Hdmi,AR,4.6,Televisores,pesos,97999,91009,7,100,91009,(64 disponibles),8,https://articulo.mercadolibre.com.ar/MLA-1336881016-smart-tv-4k-led-50-pulgadas-telefunken-f5022uk6-uhd-hdmi-_JM#position=41&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f,05/04/2023 02:58:52,Telefunken,TK5022UK6,TK5022UK6,TK5022UK6,Negro,220V,Sí,No,No,No,,,,,,,,,,,,,,LED,"50 """,4K,No,3840x2160,16:9,5000:1,300 cd/m²,9.5 ms,,Sí,Sí,,,Sí,,,,,,50/60,,,,,,,112.4 cm x 71.1 cm,,,,,,,,,,,,
6,"Smart TV Motorola 91MT32E3A LED Android TV HD 32"" 220V",AR,4.6,Televisores,pesos,,57999,6,1000,57999,None,120,https://www.mercadolibre.com.ar/smart-tv-motorola-91mt32e3a-led-android-tv-hd-32-220v/p/MLA21096755?pdp_filters=category:MLA1002#searchVariation=MLA21096755&position=6&search_layout=stack&type=product,05/04/2023 02:59:04,Motorola,,91MT32E3A,,,220V,Sí,,No,,Android TV,,,,,,,,,,,,Google Play Store,LED,"32 """,HD,Sí,1366 px - 768 px,16:9,,,,,Sí,Sí,2,2,Sí,,,,,,,,,Sí,,,,,,,,,,,,,,,,
7,Smart Tv Quint 43 Qt1-43frame Led 1080p Fhd Wifi Linux,AR,4.6,Televisores,pesos,74999,59399,20,100,59399,(13 disponibles),7,https://articulo.mercadolibre.com.ar/MLA-1365500276-smart-tv-quint-43-qt1-43frame-led-1080p-fhd-wifi-linux-_JM#position=42&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f42,05/04/2023 02:59:17,Quint,Frameless,QT1-43FRAMELESS,QT1-43FRAMELESS,Negro,,Sí,No,No,No,Linux,,,,,,,,,,,,,LED,"43 """,Full HD,No,,,5000:1,240 cd/m²,8 ms,,Sí,Sí,,,Sí,,,,,,,,,,Sí,,,,,,,,,,,,,,,
8,"Smart TV TCL L55C635 QLED 4K 55"" 220V",AR,4.7,Televisores,pesos,199999,172999,13,100,172999,(24 disponibles),19,https://www.mercadolibre.com.ar/smart-tv-tcl-l55c635-qled-4k-55-220v/p/MLA21076856?pdp_filters=category:MLA1002#searchVariation=MLA21076856&position=7&search_layout=stack&type=product&tracking_id=fc07,05/04/2023 02:59:29,TCL,,L55C635,,,220V,Sí,,No,,,,,,,,,,,,,,,QLED,"55 """,4K,,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,,Sí,,Sí,,,Control remoto,,,,,,,,,,,,,,,,,,,,
9,Smart Tv 55  Samsung Series 7 Un55au7000gczb Led 4k ,AR,None,Televisores,pesos,189999,151999,20,5,151999,(55 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1139432648-smart-tv-55-samsung-series-7-un55au7000gczb-led-4k-_JM#position=43&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f423,05/04/2023 02:59:40,Samsung,Series 7,UN55AU7000G,UN55AU7000GCZB,,220V - 240V,Sí,,,,Tizen,Sí,1230.5 mm x 59.9 mm x 707.2 mm,13.9 kg,1230.5 mm,250.2 mm,783.3 mm,14.2 kg,2,20 W,,,"Apple TV,Gallery,Netflix,Prime Video,Web browser,YouTube TV",LED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,"Adaptador AV,Cable de alimentación,Control remoto TM2140A,Manual,Manual electrónico",50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Adaptive Sound,Dolby Digital Plus,Q-Symphony",,,,,,,,,,,,,,
10,"Smart TV Samsung Crystal UHD UN65BU8000GXZD LED Tizen 4K 65"" 100V/240V",AR,4.8,Televisores,pesos,,299999,22,100,299999,(48 disponibles),17,https://www.mercadolibre.com.ar/smart-tv-samsung-crystal-uhd-un65bu8000gxzd-led-tizen-4k-65-100v240v/p/MLA19725706?pdp_filters=category:MLA1002#searchVariation=MLA19725706&position=8&search_layout=sta,05/04/2023 02:59:52,Samsung,Crystal UHD,UN65BU8000G,UN65BU8000GXZD,,100V/240V,Sí,,No,,Tizen,Sí,1450.9 mm x 25.7 mm x 831.9 mm,20.9 kg,1450.9 mm,281.8 mm,869.6 mm,21.3 kg,2,20 W,Sí,"Google Assistant, Alexa, Bixby","Samsung TV Plus, Netflix, Prime Video, GloboPlay, Disney+, Apple TV, YouTube, Web browser, Home Yoga, Music, SmartThings",LED,"65 """,4K,Sí,3840 px - 2160 px,16:9,,,,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Smart control TM2280E, Manual, Manual electrónico, Cable de alimentación",50 Hz x 60 Hz,Sí,,Sí,Sí,"Dolby Digital Plus, Adaptive Sound, Q-Symphony",,,No,No,,,,,,,,,,
11,Tv Kanji 32 Led Mt005,AR,4.5,Televisores,pesos,41999,40665,20,100,40665,(21 disponibles),35,https://articulo.mercadolibre.com.ar/MLA-1239583434-tv-kanji-32-led-mt005-_JM#position=44&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f423,05/04/2023 03:00:04,Kanji,TV LED,TV KANJI 32 LED MT005,MT005,,220V,No,,,,,,72.8 cm x 9 cm x 43.5 cm,,,,,,2,,,,,LED,"32 """,HD,,1366 px - 768 px,16:9,,,,,,Sí,3,2,,,,No,,,,,,,,,,,,,170°,160°,,,,,,,,
12,"Smart TV Philips 7000 Series 50PUD7406/77 LED Android 10 4K 50"" 110V/240V",AR,4.5,Televisores,pesos,,110999,22,5,110999,None,893,https://www.mercadolibre.com.ar/smart-tv-philips-7000-series-50pud740677-led-android-10-4k-50-110v240v/p/MLA18607070?pdp_filters=category:MLA1002#searchVariation=MLA18607070&position=9&search_layout=s,05/04/2023 03:00:15,Philips,7000 Series,50PUD7406,50PUD7406/77,,110V/240V,Sí,,,,Android 10,Sí,1113 mm x 87.2 mm x 647.3 mm,11.3 kg,1113 mm,248 mm,678 mm,11.5 kg,2,20 W,Sí,Google Assistant,"Prime Video, Disney+, YouTube, Netflix",LED,"50 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,4,2,Sí,Sí,Sí,,Sí,"Control remoto, Baterías, Cable de alimentación, Guía de instalación, Manual, Manual electrónico, Soporte para la mesa",50 Hz x 60 Hz,Sí,,,Sí,"Dolby Atmos, AI Sound",8 GB,,,,,,4,,,,,,,
13,Android Tv Philips Led Full Hd 43 Pulgadas Negro 43pfd6917 ,AR,4.6,Televisores,pesos,,95999,30,1000,95999,(603 disponibles),112,https://articulo.mercadolibre.com.ar/MLA-1142536162-android-tv-philips-led-full-hd-43-pulgadas-negro-43pfd6917-_JM#position=45&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d73,05/04/2023 03:00:27,Philips,SMART + ANDROID,43PFD6917,43PFD6917/77,Negro,110V/240V,Sí,No,No,No,Android 10,Sí,958 mm x 82 mm x 568 mm,7.2 kg,958 mm,227 mm,587 mm,7.13 kg,2,16 W,Sí,Google Assistant,"YouTube,Prime Video,Disney+,Google Play Movies & TV,Google Play Music,Netflix,Google Play Store",LED,"43 """,Full HD,Sí,1920 px - 1080 px,16:9,,,,,Sí,Sí,3,2,Sí,Sí,Sí,No,Sí,"Baterías,Cable de alimentación,Soporte para la mesa,Control remoto,Guía de instalación",50 Hz x 60 Hz,Sí,No,Sí,Sí,"Dolby Atmos,Surround",8 GB,,No,No,,,,No,No,,,,,
14,"Smart TV Samsung QN55Q65BAGXZD QLED Tizen 4K 55"" 100V/240V",AR,4.8,Televisores,pesos,289999,254999,12,500,254999,(17 disponibles),72,https://www.mercadolibre.com.ar/smart-tv-samsung-qn55q65bagxzd-qled-tizen-4k-55-100v240v/p/MLA19474324?pdp_filters=category:MLA1002#searchVariation=MLA19474324&position=10&search_layout=stack&type=pro,05/04/2023 03:00:39,Samsung,,QN55Q65BAG,QN55Q65BAGXZD,,100V/240V,Sí,,No,,Tizen,Sí,1232.1 mm x 25.7 mm x 708.3 mm,14.7 kg,1232.1 mm,249.1 mm,773.8 mm,15.5 kg,2,20 W,Sí,"Alexa, Bixby, Google Assistant","Samsung TV Plus, Samsung Promotion, Netflix, YouTube, Disney+, GloboPlay, Web browser, Apple TV, TELECINE, SmartThings, Prime Video",QLED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Smart control TM2280E, Manual, Manual electrónico, Cable de alimentación",50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Q-Symphony, Adaptive Sound, Dolby Digital Plus MS12",,,No,Sí,,,,,,,,,,
15,Smart Tv Enova 50 Pulgadas 4k Uhd Android Tv Frameless Cta,AR,4.8,Televisores,pesos,200000,91599,54,500,91599,(47 disponibles),44,https://www.mercadolibre.com.ar/smart-tv-enova-50-pulgadas-4k-uhd-android-tv-frameless-cta/p/MLA22372835?pdp_filters=category:MLA1002#searchVariation=MLA22372835&position=11&search_layout=stack&type=p,05/04/2023 03:00:51,Enova,Smart TV,TE50UA10-TDFA,ATH-TE50UA10-TDFA,Negro,,Sí,No,No,No,Android TV,,,9.2 kg,,,,,,,,,,DLED,"50 """,4K,Sí,,,5000:1,,8 ms,,Sí,Sí,,,Sí,Sí,,,,,,,,,,,,1110 mm x 644 mm,,,,,,,,,,,,
16,"Smart TV Philips 7000 Series 55PUD7406/77 LED Android 10 4K 55"" 110V/240V",AR,4.6,Televisores,pesos,,144999,22,1000,144999,(139 disponibles),354,https://www.mercadolibre.com.ar/smart-tv-philips-7000-series-55pud740677-led-android-10-4k-55-110v240v/p/MLA18647649?pdp_filters=category:MLA1002#searchVariation=MLA18647649&position=12&search_layout=,05/04/2023 03:01:03,Philips,7000 Series,55PUD7406,55PUD7406/77,,110V/240V,Sí,,,,Android 10,Sí,1226.8 mm x 86.6 mm x 711.8 mm,11.6 kg,1226.8 mm,248 mm,743 mm,11.8 kg,2,20 W,Sí,Google Assistant,"Prime Video, Disney+, YouTube, Netflix, Web browser, GloboPlay",LED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,4,2,Sí,Sí,Sí,,Sí,"Control remoto, Cable de alimentación, Soporte para la mesa, Baterías, Manual, Guía de instalación",50 Hz x 60 Hz,Sí,,,Sí,"Dolby Atmos, AI Sound",8 GB,,,,,,4,,,,,,,
17,Smart Tv 65 Tcl Led 4k L65p725 Uhd Google Tv,AR,4.5,Televisores,pesos,,234999,8,100,234999,(47 disponibles),25,https://www.mercadolibre.com.ar/smart-tv-65-tcl-led-4k-l65p725-uhd-google-tv/p/MLA19606370?pdp_filters=category:MLA1002#searchVariation=MLA19606370&position=13&search_layout=stack&type=product&trackin,05/04/2023 03:01:42,TCL,P725 Google Tv,L65P725,,Negro,240V,Sí,,No,,Google TV,,123.4 cm x 8.6 cm x 85.8 cm,9.3 kg,123.4 cm,26.5 cm,74.4 cm,11.2 kg,2,9.6 W,Sí,Google Assistant,"Disney plus, HBO Max, Netflix, Prime Video, Star +, YouTube",LED,"65 """,4K,Sí,3840 px - 2160 px,16:9,5000:1,270 cd/m²,6.5 ms,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,No,Sí,,,Sí,No,Sí,Sí,Dolby Digital,,,Sí,Sí,178°,178°,4,,,,,,,
18,Televisor Philips 32'' Hd Android Tv 10 Q Hdr10 Bluetooth,AR,4.7,Televisores,pesos,,77999,30,1000,77999,(1065 disponibles),94,https://articulo.mercadolibre.com.ar/MLA-1142536163-televisor-philips-32-hd-android-tv-10-q-hdr10-bluetooth-_JM#position=46&search_layout=stack&type=item&tracking_id=fc07d567-169f-4cf7-bf96-24a4d733f4,05/04/2023 03:01:54,Philips,SMART + ANDROID,32PHD6917/77,PHILIPS 32PHD6917/77,Negro,,Sí,No,No,No,Android,,71.6 cm x 7.6 cm x 43.3 cm,3.98 kg,71.6 cm,16.6 cm,45.3 cm,3.02 kg,2,5 W,Sí,,,LED,"32 """,HD,Sí,1366 px - 768 px,,,,,,Sí,Sí,3,2,Sí,Sí,Sí,No,Sí,,,Sí,No,Sí,No,Dolby Digital,,,No,No,,,,No,No,,,,,
19,"Smart TV Samsung Series 6 QN65Q65BAGCZB QLED Tizen Full HD 65"" 220V - 240V",AR,4.8,Televisores,pesos,,379999,10,100,379999,(31 disponibles),11,https://www.mercadolibre.com.ar/smart-tv-samsung-series-6-qn65q65bagczb-qled-tizen-full-hd-65-220v-240v/p/MLA19934370?pdp_filters=category:MLA1002#searchVariation=MLA19934370&position=14&search_layout,05/04/2023 03:02:06,Samsung,Series 6,QN65Q65BAG,QN65Q65BAGCZB,,220V - 240V,Sí,,No,,Tizen,Sí,1450.9 mm x 25.7 mm x 831.4 mm,20.9 kg,1450.9 mm,274 mm,872.2 mm,21.3 kg,2,20 W,Sí,Bixby,"SmartThings, Google Duo",QLED,"65 """,Full HD,Sí,3840 px - 2160 px,16:9,,,,50 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Smart control TM2280E, Manual, Manual electrónico, Cable de alimentación",50 Hz x 60 Hz,Sí,,Sí,Sí,"OTS-Lite, Q-Symphony, Adaptive Sound, Dolby Digital Plus",,,,Sí,,,,,,,,,,
20,"Smart TV Kanji KJ-50ST005 LED Android KitKat 4K 50"" 100V/240V",AR,4.5,Televisores,pesos,174499,91498,47,100,91498,(8 disponibles),42,https://www.mercadolibre.com.ar/smart-tv-kanji-kj-50st005-led-android-kitkat-4k-50-100v240v/p/MLA18354742?pdp_filters=category:MLA1002#searchVariation=MLA18354742&position=15&search_layout=stack&type=,05/04/2023 03:02:17,Kanji,,KJ-50ST005,,,100V/240V,Sí,,,,Android KitKat,Sí,,,,,,,2,16 W,,,"Netflix, YouTube",LED,"50 """,4K,,3840 px - 2160 px,16:9,3000:1,350 cd/m²,8 ms,,Sí,Sí,3,2,Sí,,Sí,Sí,,Control remoto,50 Hz x 60 Hz,,,,,,8 GB,,,,176°,176°,4,,,,,,,
21,Smart Noblex 50  91dk50x6550 4k Sistema Vidaa,AR,4.4,Televisores,pesos,139999,115999,17,100,115999,(255 disponibles),21,https://www.mercadolibre.com.ar/smart-noblex-50-91dk50x6550-4k-sistema-vidaa/p/MLA20005522?pdp_filters=category:MLA1002#searchVariation=MLA20005522&position=16&search_layout=stack&type=product&trackin,05/04/2023 03:02:31,Noblex,DK-Series,DK50X6550,,Negro,,Sí,No,No,No,,,,,,,,,,,,,,LED,"50 """,4K,,,,4000:1,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,
22,"TV Kanji KJ-24TM005 LED Full HD 24"" 220V",AR,4.1,Televisores,pesos,35999,33289,7,1000,33289,(51 disponibles),162,https://www.mercadolibre.com.ar/tv-kanji-kj-24tm005-led-full-hd-24-220v/p/MLA18614516?pdp_filters=category:MLA1002#searchVariation=MLA18614516&position=17&search_layout=stack&type=product&tracking_id=,05/04/2023 03:02:46,Kanji,,KJ-24TM005,,,220V,,,,,,Sí,,,,,,,,,,,,LED,"24 """,Full HD,,1920 px - 1080 px,16:9,,,5 ms,,Sí,Sí,1,1,,,,No,,Control remoto,,,,,,,,,,,,,,,,,,,,
23,"Smart TV Noblex 91DM32X7000PI LED Android TV HD 32"" 220V",AR,4.5,Televisores,pesos,,62999,6,10,62999,(100 disponibles),1632,https://www.mercadolibre.com.ar/smart-tv-noblex-91dm32x7000pi-led-android-tv-hd-32-220v/p/MLA16172977?pdp_filters=category:MLA1002#searchVariation=MLA16172977&position=18&search_layout=stack&type=prod,05/04/2023 03:03:00,Noblex,,DM32X7000,91DM32X7000PI,,220V,Sí,No,,,Android TV,,,,83 cm,13.7 cm,52.4 cm,,2,16 W,,,"YouTube, Netflix, Web browser, Prime Video, YouTube Kids, HBO Go, Google Play Movies & TV, Google Play Store, AMC",LED,"32 """,HD,,1366 px - 768 px,16:9,1200:1,200 cd/m²,8 ms,,Sí,Sí,2,2,Sí,,Sí,No,,"Control remoto, Cable de alimentación",,,,,Sí,,,,,,,,,,,83 cm,,,,
