,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Es smart,Es 3D,Es curvo,Es portátil,Sistema operativo,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Con comando de voz integrado,Asistentes virtuales integrados,Apps integradas,Tipo de pantalla,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Con entrada de antena RF,Accesorios incluidos,Frecuencia,Con apagado automático,Con cables ocultos,Con función screen share,Con entrada S/PDIF,Modos de sonido,Capacidad de almacenamiento,Ancho x Altura,Con entrada por video componentes,Con entrada por video compuesto,Ángulo de visión horizontal,Ángulo de visión vertical,Cantidad de núcleos del procesador,Es inflamable,Es kit,Ancho,Países con control mágico incluido,Organismo de certificación (OCP),Con impacto positivo,Ancho x Profundidad
52,Tcl Led 55  L55p735 Uhd Google Tv-rv,AR,4.8,Televisores,pesos,139999,124999,10,100,124999,(25 disponibles),57,https://www.mercadolibre.com.ar/tcl-led-55-l55p735-uhd-google-tv-rv/p/MLA19930808?pdp_filters=category:MLA1002#searchVariation=MLA19930808&position=4&search_layout=stack&type=product&tracking_id=69741,05/04/2023 15:02:47,TCL,P735,L55P735-F,L55P735,Negro,220V,Sí,No,No,No,Android,,,,,,,,,,,Google Assistant,Netflix,LED,"55 """,4K,Sí,,,,,,,Sí,Sí,,,Sí,,,No,Sí,Control remoto,,Sí,,,,,,,,,,,,,,,,,,
53,"Smart TV Siera STV4303 LED Android TV Full HD 43"" 220V",AR,4.9,Televisores,pesos,,81099,23,100,81099,(5 disponibles),11,https://www.mercadolibre.com.ar/smart-tv-siera-stv4303-led-android-tv-full-hd-43-220v/p/MLA19759454?pdp_filters=category:MLA1002#searchVariation=MLA19759454&position=5&search_layout=stack&type=product,05/04/2023 15:03:00,Siera,,STV4303,,,220V,Sí,,No,,Android TV,,,,,,,,,,,,,LED,"43 """,Full HD,,1020 px - 1080 px,16:9,3000:1,,,,Sí,Sí,2,2,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,
54,"Smart TV LG AI ThinQ 43UP7750PSB LCD webOS 6.0 4K 43"" 100V/240V",AR,4.8,Televisores,pesos,149999,128999,14,1000,128999,(40 disponibles),324,https://www.mercadolibre.com.ar/smart-tv-lg-ai-thinq-43up7750psb-lcd-webos-60-4k-43-100v240v/p/MLA18505212?pdp_filters=category:MLA1002#searchVariation=MLA18505212&position=6&search_layout=stack&type=,05/04/2023 15:03:13,LG,AI ThinQ,43UP7750,43UP7750PSB,,100V/240V,Sí,,,,webOS 6.0,Sí,967 mm x 57.1 mm x 564 mm,8.8 kg,967 mm,216 mm,622 mm,8.9 kg,2,20 W,Sí,ThinQ AI,"YouTube, Netflix, HBO Go, Apple TV, Spotify, Movistar Play, Zapping TV, Disney+",LCD,"43 """,4K,Sí,3840 px - 2160 px,16:9,,,,60 Hz,Sí,Sí,,2,Sí,Sí,Sí,No,,"Control remoto, Cable de alimentación, Base, Baterías",50 Hz x 60 Hz,Sí,,,Sí,"AI Sound Pro, AI Sound, Clear Voice, Ultra Surround",,,,,,,4,,,,"Chile, Colombia",,,
55,Tv Led Hd Philips 24phd5565/77 De 24 Pulgadas Tio Musa,AR,5.0,Televisores,pesos,47999,44699,6,5,44699,(47 disponibles),1,https://articulo.mercadolibre.com.ar/MLA-899100656-tv-led-hd-philips-24phd556577-de-24-pulgadas-tio-musa-_JM#position=32&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855b7a,05/04/2023 15:03:58,Philips,5500 Series,24PHD5565,24PHD5565/77,Negro,110V/240V,No,No,No,Sí,,Sí,55.6 cm x 68 mm x 338.2 mm,2.95 kg,55.6 cm,55.6 cm,55.6 cm,3 kg,2,6 W,,,,LED,"24 """,HD,No,1366 px - 768 px,16:9,,,,,Sí,Sí,2,1,,,,Sí,,"Soporte para la mesa,Control remoto,Baterías,Cable de alimentación,Guía de instalación",50 Hz x 60 Hz,Sí,,,Sí,Surround,,,,,,,,,,,,,,
56,Smart Tv 58  Hyundai Hyled-58uhd5a 4k Ultra Hd,AR,5.0,Televisores,pesos,,168748,12,5,168748,(41 disponibles),1,https://articulo.mercadolibre.com.ar/MLA-1151327963-smart-tv-58-hyundai-hyled-58uhd5a-4k-ultra-hd-_JM#position=33&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855b7a,05/04/2023 15:04:12,Hyundai,Smart Tv,HYLED-58UHD4,HYLED-58UHD5A,Negro,220V,Sí,No,No,,,,,14.5 kg,,,,,,,,,"Netflix,YouTube",LED,"58 """,4K,,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,,,,,"Control remoto,Cable de alimentación",,,,,,,,,,,,,,,,,,,,
57,Smart Tv LG 32 Pulgadas 32lq630bpsa Wifi Bluetooth Thinq Ai,AR,4.7,Televisores,pesos,104599,67999,34,100,67999,(8 disponibles),19,https://www.mercadolibre.com.ar/smart-tv-lg-32-pulgadas-32lq630bpsa-wifi-bluetooth-thinq-ai/p/MLA21193581?pdp_filters=category:MLA1002#searchVariation=MLA21193581&position=7&search_layout=stack&type=p,05/04/2023 15:04:26,LG,AI ThinQ,32LQ630BPSA,32LQ630BPSA,,,Sí,No,No,No,,,,,,,,,,,,,,LED,"32 """,HD,Sí,,,,,,,Sí,Sí,,,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,
58,Smart Tv Led Hitachi 55 4k Le55aksmart26,AR,None,Televisores,pesos,135699,126397,6,5,126397,(10 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1381934592-smart-tv-led-hitachi-55-4k-le55aksmart26-_JM#position=34&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855b7a,05/04/2023 15:04:39,Hitachi,"Smart TV 55""",CDH-LE554KSMART26,LE55AKSMART26,Negro,100V/240V,Sí,No,No,No,Android TV,,122.6 cm x 8.1 cm x 71.1 cm,10 kg,,26.5 cm,76.6 cm,10.2 kg,2,9.5 W,Sí,,"HBO Max,Netflix,Prime Video,Spotify",LED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,,50 Hz x 60 Hz,,,Sí,Sí,"MTS,SAP,Stereo,Dolby Digital",16 GB,,,Sí,,,,,,,,,,
59,"Smart TV Samsung Series 6 QN55Q65BAGCZB QLED Tizen 4K 55"" 220V - 240V",AR,4.7,Televisores,pesos,349999,281999,19,100,281999,(48 disponibles),48,https://www.mercadolibre.com.ar/smart-tv-samsung-series-6-qn55q65bagczb-qled-tizen-4k-55-220v-240v/p/MLA19818874?pdp_filters=category:MLA1002#searchVariation=MLA19818874&position=8&search_layout=stack,05/04/2023 15:04:53,Samsung,Series 6,QN55Q65BAG,QN55Q65BAGCZB,,220V - 240V,Sí,,No,,Tizen,Sí,1232.1 mm x 25.7 mm x 708.3 mm,14.7 kg,1232.1 mm,224 mm,745.9 mm,15 kg,2,20 W,Sí,Bixby,"SmartThings, Google Duo, Web browser, Netflix, Prime Video, Disney+, Samsung TV Plus",QLED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,50 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Cable de alimentación, Manual, Manual electrónico, Smart control TM2280E",50 Hz x 60 Hz,Sí,,Sí,Sí,"OTS-Lite, Q-Symphony, Adaptive Sound, Dolby Digital Plus",,,,Sí,,,,,,,,,,
60,Smart Tv Bgh 32'' Hd Control Por Voz Y Android Tv B3222s5a,AR,4.4,Televisores,pesos,,69999,10,1000,69999,(260 disponibles),168,https://www.mercadolibre.com.ar/smart-tv-bgh-32-hd-control-por-voz-y-android-tv-b3222s5a/p/MLA21954167?pdp_filters=category:MLA1002#searchVariation=MLA21954167&position=11&search_layout=stack&type=pro,05/04/2023 15:05:07,BGH,Android Smart TV LED,"Smart TV HD LED 32""",B3222S5A,Negro,,Sí,No,No,No,Android 11,Sí,,,,,,,2,8 W,Sí,Google Assistant,"Play store, Netflix, YouTube",LED,"32 """,HD,No,,16:9,,,,,Sí,Sí,4,2,Sí,No,Sí,No,No,"Tv x1, Base x2, Guia rapida x1, Manual legal x1, Bolsa con tornillos para la base x1, Control remoto x1",,Sí,Sí,Sí,Sí,Dolby Digital,,,No,No,,,,,,,,,,
61,Smart Tv Samsung 43  Un43au7000gczb Uhd 4k Hdr 10+,AR,None,Televisores,pesos,148605,123224,17,3,123224,(2 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1371162628-smart-tv-samsung-43-un43au7000gczb-uhd-4k-hdr-10-_JM#position=35&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855b7a,05/04/2023 15:05:20,Samsung,Series 7,UN43AU7000G,UN43AU7000GCZB,,220V - 240V,Sí,,,,Tizen,Sí,963.9 mm x 59.6 mm x 558.9 mm,8.1 kg,963.9 mm,192.5 mm,627.8 mm,8.3 kg,2,20 W,,,"Apple TV,Gallery,Netflix,Prime Video,Web browser,YouTube",LED,"43 """,4K,Sí,3840 px - 2160 px,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,"Adaptador AV,Baterías,Cable de alimentación,Manual,Manual electrónico,Smart control TM2140A",50 Hz x 60 Hz,Sí,Sí,Sí,Sí,"Dolby Digital Plus,Q-Symphony",,,,,,,,,,,,,,
62,Smart Tv Philips Android 43´´4k Uhd Control Voz 43pud7407/77,AR,4.6,Televisores,pesos,,120999,24,100,120999,(141 disponibles),13,https://articulo.mercadolibre.com.ar/MLA-1142542666-smart-tv-philips-android-434k-uhd-control-voz-43pud740777-_JM#position=36&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb85,05/04/2023 15:05:32,Philips,SMART + ANDROID,43PUD7407/77,PHILIPS 43PUD7407/77,Negro,110V/240V,Sí,No,No,No,Android,,95.8 cm x 8.2 cm x 56.8 cm,7.2 kg,95.8 cm,22.7 cm,58.7 cm,7.13 kg,2,8 W,Sí,,,LED,"43 """,4K,Sí,3840 px - 2160 px,,,,,,Sí,Sí,4,2,Sí,Sí,Sí,No,Sí,"Control remoto,Baterías,Cable de alimentación,Soporte para la mesa,Manual,Guía de instalación",,Sí,No,Sí,No,Dolby Digital,,,No,No,,,,No,No,,,,,
63,Smart Tv Tcl 50'' Led Ultra Hd 4k 3840 X 2160p Refabricado (Reacondicionado),AR,4.0,Televisores,pesos,,109999,13,1,109999,(999 disponibles),1,https://articulo.mercadolibre.com.ar/MLA-1321631471-smart-tv-tcl-50-led-ultra-hd-4k-3840-x-2160p-refabricado-_JM#position=37&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855,05/04/2023 15:05:45,TCL,L50P715,P715,50P715,,100V/240V,Sí,No,,,Android Pie,Sí,1112 mm x 79 mm x 655 mm,9.8 kg,,,,10 kg,2,20 W,Sí,"AI-IN,Google Assistant","GloboPlay,Google Play Movies & TV,Google Play Music,Google Play Store,Netflix,Prime Video,TCL App Store,YouTube",LED,"50 """,4K,Sí,3840 px - 2160 px,16:9,5000:1,270 cd/m²,9.5 ms,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Baterías,Control remoto,Soporte para la mesa",50 Hz x 60 Hz,Sí,,Sí,Sí,Dolby Audio,16 GB,,,Sí,178°,178°,4,,,,,,Sí,
64,Televisor Smart Tv Hyundai Full Hd 40  Prime Video Yt Hdmi (Reacondicionado),AR,None,Televisores,pesos,,79999,23,1,79999,(2 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1361133231-televisor-smart-tv-hyundai-full-hd-40-prime-video-yt-hdmi-_JM#position=38&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb85,05/04/2023 15:05:58,Hyundai,,HYLED-40FHD5A,,,220V,Sí,,,,Android TV,,,,90.36 cm,22.15 cm,57.07 cm,5.9 kg,,,,,Netflix,LED,"40 """,Full HD,,1920 px - 1080 px,16:9,5000:1,240 cd/m²,8.5 ms,60 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,,Control remoto,,Sí,,,Sí,,,,Sí,,,,,,,,,,,90.36 cm x 8.53 cm
65,"Smart TV Quint QT1-42FRAME LED Linux Full HD 42"" 220V",AR,4.5,Televisores,pesos,,69999,23,1000,69999,(21 disponibles),88,https://www.mercadolibre.com.ar/smart-tv-quint-qt1-42frame-led-linux-full-hd-42-220v/p/MLA19487737?pdp_filters=category:MLA1002#searchVariation=MLA19487737&position=12&search_layout=stack&type=product,05/04/2023 15:06:11,Quint,,QT1-42FRAME,,,220V,Sí,No,No,,Linux,Sí,95.1 cm x 8.6 cm x 54.1 cm,6 kg,95.1 cm,21.4 cm,58.6 cm,,,,,,"Netflix, Prime Video, YouTube",LED,"42 """,Full HD,,1920 px - 1080 px,16:9,3000:1,240 cd/m²,8 ms,,Sí,Sí,3,2,Sí,,Sí,,,Control remoto,,,,,Sí,,,,,,,,,,,,,,,
66,"Smart TV Motorola 91MT43E3A LED Android TV Full HD 43"" 220V",AR,4.8,Televisores,pesos,99999,78799,21,500,78799,(7 disponibles),101,https://www.mercadolibre.com.ar/smart-tv-motorola-91mt43e3a-led-android-tv-full-hd-43-220v/p/MLA21096754?pdp_filters=category:MLA1002#searchVariation=MLA21096754&position=13&search_layout=stack&type=p,05/04/2023 15:06:25,Motorola,,91MT43E3A,,,220V,Sí,,No,,Android TV,,,,,,,,,,,,"YouTube, Google Play Store",LED,"43 """,Full HD,Sí,1920 px - 1080 px,16:9,,,,,Sí,Sí,2,2,Sí,No,Sí,,,,,,,Sí,,,8 GB,,,,,,,,,,,,,
67,Televisor Bgh 50'' Android Tv Negro 4k Ultra Hd Control Voz,AR,4.8,Televisores,pesos,,123999,24,500,123999,(110 disponibles),69,https://articulo.mercadolibre.com.ar/MLA-1133869624-televisor-bgh-50-android-tv-negro-4k-ultra-hd-control-voz-_JM#position=39&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb85,05/04/2023 15:06:39,BGH,Smart TV Android,"TV LED BGH 50"" 4K UHD SMART ANDROID",PNE040263,Negro,220V,Sí,No,No,No,Android,Sí,111 cm x 9 cm x 64.9 cm,8.5 kg,111 cm,23.7 cm,71.2 cm,8.6 kg,2,8 W,Sí,Google Assistant,"Netflix,YouTube",LED,"50 """,4K,Sí,3840x2160,16:9,1200,280 cd/m²,8 ms,60 Hz,Sí,Sí,6,2,Sí,No,Sí,No,No,"TV x1,base x2,guia rapida x1,manual legal x1,bolsa con tornillos para la base x1,control remoto x1,Cable adaptador miniplug 3 en 1",,Sí,Sí,Sí,Sí,Dolby Digital,,,No,No,178°,178°,4,No,No,,Argentina,,,
68,Smart Tv Samsung Qled 4k Q65b 55 Quantum Hdr Xbox Game Pass,AR,None,Televisores,pesos,299999,254999,14,5,254999,(4 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1284286544-smart-tv-samsung-qled-4k-q65b-55-quantum-hdr-xbox-game-pass-_JM#position=40&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb,05/04/2023 15:06:52,Samsung,Series 6,QN55Q65BAG,QN55Q65BAGCZB,,220V - 240V,Sí,,No,,Tizen,Sí,1232.1 mm x 25.7 mm x 708.3 mm,14.7 kg,1232.1 mm,224 mm,745.9 mm,15 kg,2,20 W,Sí,Bixby,"Disney+,Google Duo,Netflix,Prime Video,Samsung TV Plus,SmartThings,Web browser",QLED,"55 """,4K,Sí,3840 px - 2160 px,16:9,,,,50 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,"Cable de alimentación,Manual,Manual electrónico,Smart control TM2280E",50 Hz x 60 Hz,Sí,,Sí,Sí,"Adaptive Sound,Dolby Digital Plus,OTS-Lite,Q-Symphony",,,,Sí,,,,,,,,,,
69,Smart Tv Samsung The Frame Qled 4k 55''  + Marco Beige,AR,None,Televisores,pesos,,449999,10,5,449999,(3 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1361086712-smart-tv-samsung-the-frame-qled-4k-55-marco-beige-_JM#position=41&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855b7a,05/04/2023 15:07:05,Samsung,The Frame,LS03B,QN55LS03BAPXPA,Plateado,,Sí,,,,Tizen,,,,,,,,,,,,,QLED,"85 """,4K,Sí,3840x2160,,,,,120 Hz,Sí,Sí,4,2,Sí,Sí,Sí,,,Control remoto,,,,,,,,,,,,,,No,,,,,,
70,Tv Y Monitor Kanji Kj-24mt005 Led Full Hd 24 Pulgadas Hdmi,AR,None,Televisores,pesos,35999,33289,7,25,33289,(50 disponibles),,https://articulo.mercadolibre.com.ar/MLA-1158028872-tv-y-monitor-kanji-kj-24mt005-led-full-hd-24-pulgadas-hdmi-_JM#position=42&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb8,05/04/2023 15:07:18,Kanji,,KJ-24TM005,,,220V,,,,,,Sí,55 cm x 13 cm x 37 cm,,,,,,,,,,,LED,"24 """,Full HD,,1920 px - 1080 px,16:9,,,5 ms,,Sí,Sí,1,1,,,,Sí,,Control remoto,,,,,,,,,,,,,,,,,,,,
71,Smart Tv Noblex Dk50x6550pi Led Hdr 4k 50'' Vidaa,AR,5.0,Televisores,pesos,139999,120499,13,25,120499,(244 disponibles),2,https://articulo.mercadolibre.com.ar/MLA-1297400216-smart-tv-noblex-dk50x6550pi-led-hdr-4k-50-vidaa-_JM#position=43&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855b7a,05/04/2023 15:07:31,Noblex,DK-Series,DK50X6550,,Negro,,Sí,No,No,No,Vidaa,,,12.7 kg,,,,,2,,,,,LED,"50 """,4K,Sí,,16:9,4000:1,,8 ms,,Sí,Sí,3,2,Sí,Sí,,No,,,,,,,,,,,,,,,,,,111.5 cm,,,,
72,Tv Led Noblex Db24x4000 24  Hd,AR,4.0,Televisores,pesos,48999,38999,20,1000,38999,(5 disponibles),108,https://www.mercadolibre.com.ar/tv-led-noblex-db24x4000-24-hd/p/MLA19681489?pdp_filters=category:MLA1002#searchVariation=MLA19681489&position=14&search_layout=stack&type=product&tracking_id=69741df7-d,05/04/2023 15:07:45,Noblex,DB,DB24X4000,91DB24X4000,Negro,220V,No,No,No,No,,,55.3 cm x 7.53 cm x 34 cm,2.5 kg,,,,,2,10 W,No,,,LED,"24 """,HD,No,1368 px - 768 px,16:9,3000:1,200 cd/m²,8.5 ms,60 Hz,Sí,Sí,2,1,No,No,No,No,Sí,,60Hz,,No,No,No,,,,No,No,170°,170°,,,,,,,,
73,Smart Tv Noblex Dq50x9500pi Qled 4k 50'' Black Series Con Google Tv,AR,4.7,Televisores,pesos,159999,154999,10,100,154999,(69 disponibles),45,https://www.mercadolibre.com.ar/smart-tv-noblex-dq50x9500pi-qled-4k-50-black-series-con-google-tv/p/MLA19712052?pdp_filters=category:MLA1002#searchVariation=MLA19712052&position=15&search_layout=stack,05/04/2023 15:08:00,Noblex,Black Series,DQ50X9500PI,91DQ50X9500PI,Negro,220V,Sí,No,No,No,Google TV,,116 cm x 7.6 cm x 65.2 cm,12 kg,116 cm,30.6 cm,70.4 cm,,2,19 W,,Google Assistant,"Netflix, YouTube",LED,"50 """,4K,No,3840 px - 2160 px,16:9,5000:1,350 cd/m²,9.5 ms,60 Hz,Sí,Sí,7,2,Sí,Sí,Sí,No,Sí,Control remoto,,,,,Sí,,,,,,,,,,,,,,,
74,None,AR,None,Televisores,,,,,,None,None,,https://www.mercadolibre.com.ar/smart-tv-noblex-39-pulgadas-db39x7000-hd-android-tv/p/MLA21027041?pdp_filters=category:MLA1002#searchVariation=MLA21027041&position=1&search_layout=stack&type=product&t,05/04/2023 15:08:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,None,AR,None,Televisores,,,,,,None,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=M7ZqYrSPoAitDZgo1OF6bQka%2FHwSfdCc%2BFvLXN1o8qeqoyTJLTRPtuNnMmgmg8jC%2FuEmpqX0nTb3UCgLnQpBRYVXhK6qz4l5ZwsZmyVzuEJXTPSuMpA7vyRLPeLg,05/04/2023 15:08:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,None,AR,None,Televisores,,,,,,None,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=bqXfu604si6JO1rdWwfd3I2cOpz4gGu%2BZgnq%2BDrW%2Fm7rKucX9Aqoa0BELeJdlWPlwN0WKahzg82wvwlY6ovyc6SQE%2BhLUUpyF9kr4KgKdXxoLAMV6Y8weD4RKE,05/04/2023 15:08:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,None,AR,None,Televisores,,,,,,None,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=6H14es8DiNcQy1iLv4kzqMz%2FsWstLA4TThk9Gj86hMcsty%2Fb9XD8xGnlC2rcePpU3VYUyhW3CBYQ7f0YxQKojfrLFmD7jsxcZJk2lfi18CmNrdJAD3AquswdX0QEo9,05/04/2023 15:09:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,None,AR,None,Televisores,,,,,,None,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=1mcFSUsspy4mdXi%2BSjS1Zw0lNh1zUFfmaY35p7BupkpW8I5DKecSm%2FElrYWwlOajfInY9ekll%2B4%2Fn5r%2BtI8%2BRVUiRMM2JnD8BWUJK085Doohilgvuql4rN,05/04/2023 15:09:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,None,AR,None,Televisores,,,,,,None,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=FC9VroT3Lq2xyxbO1UWbDDH5YfU8a8uPlLF9iHH82lDE4zqt2BVlKR9A954KhUf3Gw%2FVVwDLKMQX3Odcp426NNIyxQFqPPlFUaguRHib1y6P9Ye6pdMi4QDMlO1HQalF,05/04/2023 15:09:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,None,AR,None,Televisores,,,,,,None,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=thc1DKIoWzSFkgl6mPS9rR107xtmv51lNP8vpgtZZxIjQGpkog7VrFlDgTqufUb2xbO9Gl99JV%2BuWEU6HKBzKKrd53Y%2FB4v3mE1sTOZ%2FF618a0%2BedmwJ%2FdHh,05/04/2023 15:09:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,None,AR,None,Televisores,,,,,,None,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=3gK%2BMTZkBDf8Cy%2FuHClcyoSjkfCAaUzvBHUaNXo%2Fz26JeMMvU1mAFLzHIWFHUsMUbK3YlwNPN%2B76%2F6qcLzjcF6tubVa1sPUoRGR990PvMH7aesum6%2B75Te,05/04/2023 15:10:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,None,AR,None,Televisores,,,,,,None,None,,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Y91JKuilnHvHxpqZ7SFN%2Fl%2F%2BdhJpnszZNVm1uWLbWiPBeuUDrGDULyRwvhskaQjSkIrMxBavtBltLTn2DBwzA05zc2BSdiwCpFzufkYxFb8UHVwLfJIN%2Fjt7VM,05/04/2023 15:10:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,None,AR,None,Televisores,,,,,,None,None,,https://articulo.mercadolibre.com.ar/MLA-927162340-smart-tv-50-rca-and50fxuhd-android-uhd-4k-youtube-netflix-_JM#position=44&search_layout=stack&type=item&tracking_id=69741df7-d0f1-4217-a7d2-04f8eb855,05/04/2023 15:10:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,None,AR,None,Televisores,,,,,,None,None,,https://www.mercadolibre.com.ar/smart-tv-hitachi-cdh-le40smart19-led-android-oreo-full-hd-40-100v240v/p/MLA18995743?pdp_filters=category:MLA1002#searchVariation=MLA18995743&position=16&search_layout=s,05/04/2023 15:10:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Smart Tv 4k Uhd 50 Pulgadas Rca C50and Android Dolby Hdr Voz,AR,4.8,Televisores,pesos,,104419,55,100,104419,(4 disponibles),20,https://www.mercadolibre.com.ar/smart-tv-4k-uhd-50-pulgadas-rca-c50and-android-dolby-hdr-voz/p/MLA20005230?pdp_filters=category:MLA1002#searchVariation=MLA20005230&position=17&search_layout=stack&type,05/04/2023 15:10:55,RCA,Android TV,C50AND,C50AND,Negro,,Sí,No,No,No,Android TV,,,,,,,9.3 kg,,,,,,LED,"50 """,4K,Sí,,,,,,,Sí,Sí,4,,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,
